Metric,Mean,Std
Accuracy,0.6896970699054032,0.08994401944706858
Macro_Precision,0.6988018113410988,0.06429348205064958
Macro_Recall,0.6975889917695474,0.07864749759958985
Macro_F1,0.6689165561751255,0.0961086565659366
Weighted_Precision,0.7388673585710617,0.06497512940298128
Weighted_Recall,0.6896970699054032,0.08994401944706858
Weighted_F1,0.6848318230992624,0.10537659792033201
Micro_Precision,0.6896970699054032,0.08994401944706858
Micro_Recall,0.6896970699054032,0.08994401944706858
Micro_F1,0.6896970699054032,0.08994401944706858
Integrated_Score,0.6924669010214901,0.08274595959306708
