LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.35,2026-01-30 18:58:21,1769764270122_202fd60e,1769764270122_202fd60e17697707016494259,0.4199134199134198,0.4630024737167593,0.4653086419753087,0.4189707382903788,0.5034712350111237,0.4199134199134198,0.4163677571893232,0.4199134199134198,0.4199134199134198,0.4199134199134198,0.4364443773576423,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.5,2026-01-30 18:58:25,1769764270122_202fd60e,1769764270122_202fd60e17697707053343213,0.541125541125541,0.5566094962640791,0.5614814814814815,0.5363782921724429,0.6027732399794333,0.541125541125541,0.5500674818849198,0.541125541125541,0.541125541125541,0.541125541125541,0.5515035043313201,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.35,2026-01-30 18:58:28,1769764270122_202fd60e,1769764270122_202fd60e17697707083021413,0.5584415584415584,0.556685926093821,0.562037037037037,0.5469805246703329,0.6013500760681212,0.5584415584415584,0.568173126978429,0.5584415584415584,0.5584415584415584,0.5584415584415584,0.5626569750438354,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.5,2026-01-30 18:58:31,1769764270122_202fd60e,1769764270122_202fd60e17697707114457260,0.5173160173160173,0.5331254237841988,0.5360493827160494,0.512687555907032,0.5786614556925563,0.5173160173160173,0.5268086216225308,0.5173160173160173,0.5173160173160173,0.5173160173160173,0.5276344597751216,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.35,2026-01-30 18:58:22,1769764270122_202fd60e,1769764270122_202fd60e17697707027111663,0.3636363636363636,0.393071188071188,0.504320987654321,0.2897005499946676,0.4050975431494912,0.3636363636363636,0.2214786105160436,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.3523803914186521,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.5,2026-01-30 18:58:26,1769764270122_202fd60e,1769764270122_202fd60e17697707063128142,0.541125541125541,0.657028453464483,0.6267901234567902,0.5352216702751201,0.7254557408134757,0.541125541125541,0.5211402080608093,0.541125541125541,0.541125541125541,0.541125541125541,0.5758319299740805,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.35,2026-01-30 18:58:29,1769764270122_202fd60e,1769764270122_202fd60e17697707091862171,0.4134199134199134,0.6193577232294716,0.5412345679012346,0.3675853478792481,0.693409198243384,0.4134199134199134,0.3169962400285165,0.4134199134199134,0.4134199134199134,0.4134199134199134,0.453455352491539,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.5,2026-01-30 18:58:32,1769764270122_202fd60e,1769764270122_202fd60e17697707123569368,0.5606060606060606,0.6157921488289806,0.6162345679012345,0.5602221755469907,0.6702916471709095,0.5606060606060606,0.559546749873023,0.5606060606060606,0.5606060606060606,0.5606060606060606,0.5824395994455386,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.35,2026-01-30 18:58:21,1769764270122_202fd60e,1769764270122_202fd60e17697707019288439,0.4545454545454545,0.6784721351227058,0.5771604938271605,0.4215020589619245,0.7645562159734993,0.4545454545454545,0.3803004567592714,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.5041074436686976,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/7/biMaxInfgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.5,2026-01-30 18:58:25,1769764270122_202fd60e,1769764270122_202fd60e17697707056518141,0.7575757575757577,0.757569459703606,0.7820987654320989,0.7516699283072402,0.8020496740008936,0.7575757575757577,0.7629673756982239,0.7575757575757577,0.7575757575757577,0.7575757575757577,0.7643976885447823,First,7,biMaxInfgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
