Metric,Mean,Std
Accuracy,0.683701714951715,0.07888007666064778
Macro_Precision,0.7011650840598381,0.05834594092912646
Macro_Recall,0.7084726014297774,0.06917549138469378
Macro_F1,0.6731980750887758,0.0810176994337383
Weighted_Precision,0.748376883149977,0.0600835229113908
Weighted_Recall,0.683701714951715,0.07888007666064778
Weighted_F1,0.6840394878777153,0.08817747952364619
Micro_Precision,0.683701714951715,0.07888007666064778
Micro_Recall,0.683701714951715,0.07888007666064778
Micro_F1,0.683701714951715,0.07888007666064778
Integrated_Score,0.6928677772896187,0.07188898856667397
