Metric,Mean,Std
Accuracy,0.6864892052392053,0.09665327842370583
Macro_Precision,0.6998186608948144,0.06343795299758115
Macro_Recall,0.7002562124089902,0.08173826432192377
Macro_F1,0.666394717847075,0.10473766295851286
Weighted_Precision,0.7416170147231367,0.06318769325046418
Weighted_Recall,0.6864892052392053,0.09665327842370583
Weighted_F1,0.6801523381113844,0.11511566280464174
Micro_Precision,0.6864892052392053,0.09665327842370583
Micro_Recall,0.6864892052392053,0.09665327842370583
Micro_F1,0.6864892052392052,0.09665327842370583
Integrated_Score,0.690746929292145,0.08876497629622246
