Metric,Mean,Std
Accuracy,0.6887071262071263,0.0878136887979069
Macro_Precision,0.6968762581053382,0.06330174618633759
Macro_Recall,0.6959327912314023,0.07732822586321329
Macro_F1,0.6677921573026346,0.0940302800983143
Weighted_Precision,0.7369366671506806,0.0640216176458851
Weighted_Recall,0.6887071262071263,0.0878136887979069
Weighted_F1,0.6840945966367769,0.10276762170879565
Micro_Precision,0.6887071262071263,0.0878136887979069
Micro_Recall,0.6887071262071263,0.0878136887979069
Micro_F1,0.6887071262071263,0.08781368879790688
Integrated_Score,0.6912404352225041,0.08082678604524338
