Metric,Mean,Std
Split_Ratio,0.15000000000000002,0.05000133552359227
Prob_Threshold,0.42499999999999993,0.07500200328538839
Accuracy,0.6889419608169608,0.08777558032399903
Macro_Precision,0.697230194139183,0.06339348204194759
Macro_Recall,0.696244364645985,0.07734468080008454
Macro_F1,0.6680860419367375,0.09392451612046289
Weighted_Precision,0.7372912760831489,0.06414644481709518
Weighted_Recall,0.6889419608169608,0.08777558032399903
Weighted_F1,0.6843606090835493,0.10264610705923793
Micro_Precision,0.6889419608169608,0.08777558032399903
Micro_Recall,0.6889419608169608,0.08777558032399903
Micro_F1,0.6889419608169608,0.08777558032399901
Integrated_Score,0.6915203654666588,0.08079641319933488
