LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.1,0.35,2026-01-30 17:12:38,1769764270122_202fd60e,1769764270122_202fd60e17697643586200889,0.7402597402597403,0.7169483873275405,0.7233333333333333,0.7194881804040009,0.7454312325559723,0.7402597402597403,0.742272482798839,0.7402597402597403,0.7402597402597403,0.7402597402597403,0.7339392909060066,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.1,0.5,2026-01-30 17:12:39,1769764270122_202fd60e,1769764270122_202fd60e17697643596424329,0.6883116883116883,0.6619615915177194,0.6662962962962963,0.6598044548044548,0.6963220009403489,0.6883116883116883,0.6884093011365738,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.6800147275912659,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.2,0.35,2026-01-30 17:12:40,1769764270122_202fd60e,1769764270122_202fd60e17697643605283423,0.7077922077922079,0.6824471480166885,0.6869753086419754,0.6835667769111383,0.7133776744058696,0.7077922077922079,0.7095629089373093,0.7077922077922079,0.7077922077922079,0.7077922077922079,0.7003663491006034,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.2,0.5,2026-01-30 17:12:41,1769764270122_202fd60e,1769764270122_202fd60e17697643613879552,0.7034632034632035,0.6833931288699873,0.695,0.6860999498158086,0.7183364106188826,0.7034632034632035,0.7081265336419792,0.7034632034632035,0.7034632034632035,0.7034632034632035,0.7001922078528363,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/GradientBoosting,True,0.1,0.35,2026-01-30 17:12:38,1769764270122_202fd60e,1769764270122_202fd60e17697643588965629,0.7272727272727272,0.7463172866045643,0.767283950617284,0.7247878861689604,0.7988324293776706,0.7272727272727272,0.7325837317799321,0.7272727272727272,0.7272727272727272,0.7272727272727272,0.7407582002613764,First,4,biMaxInfgain,MinMax__mixup__ADASYN,GradientBoosting,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/GradientBoosting,True,0.1,0.5,2026-01-30 17:12:39,1769764270122_202fd60e,1769764270122_202fd60e17697643599319880,0.7705627705627706,0.7691973535202034,0.7949382716049382,0.7648173292797903,0.8127059880910973,0.7705627705627706,0.7757055384693471,0.7705627705627706,0.7705627705627706,0.7705627705627706,0.7769876997091026,First,4,biMaxInfgain,MinMax__mixup__ADASYN,GradientBoosting,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/GradientBoosting,True,0.2,0.35,2026-01-30 17:12:40,1769764270122_202fd60e,1769764270122_202fd60e17697643608002307,0.7489177489177489,0.7599255357797782,0.7839506172839507,0.7454006730272488,0.809589047432389,0.7489177489177489,0.7542758830348212,0.7489177489177489,0.7489177489177489,0.7489177489177489,0.7598651030260216,First,4,biMaxInfgain,MinMax__mixup__ADASYN,GradientBoosting,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/GradientBoosting,True,0.2,0.5,2026-01-30 17:12:41,1769764270122_202fd60e,1769764270122_202fd60e17697643616498400,0.725108225108225,0.7110121227551612,0.7287037037037036,0.7129403802383233,0.7485486441078847,0.725108225108225,0.7305801868313232,0.725108225108225,0.725108225108225,0.725108225108225,0.7253978221604118,First,4,biMaxInfgain,MinMax__mixup__ADASYN,GradientBoosting,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/LogisticRegression,True,0.1,0.35,2026-01-30 17:12:38,1769764270122_202fd60e,1769764270122_202fd60e17697643586989559,0.670995670995671,0.723799874559753,0.7296296296296297,0.6707997471155366,0.7854395327256812,0.670995670995671,0.6728840939367254,0.670995670995671,0.670995670995671,0.670995670995671,0.6938377482476139,First,4,biMaxInfgain,MinMax__mixup__ADASYN,LogisticRegression,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/LogisticRegression,True,0.1,0.5,2026-01-30 17:12:39,1769764270122_202fd60e,1769764270122_202fd60e17697643597175453,0.722943722943723,0.7142127503849262,0.7327160493827161,0.7124809194835956,0.7543969470718507,0.722943722943723,0.728559475712412,0.722943722943723,0.722943722943723,0.722943722943723,0.7254661231408394,First,4,biMaxInfgain,MinMax__mixup__ADASYN,LogisticRegression,MinMax,mixup,ADASYN
