LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.35,2026-01-30 17:20:26,1769764270122_202fd60e,1769764270122_202fd60e17697648266678980,0.5670995670995671,0.5602791728089977,0.5644444444444444,0.5507604150034969,0.6045399953368081,0.5670995670995671,0.5747147993640515,0.5670995670995671,0.5670995670995671,0.5670995670995671,0.568587470253984,First,4,infgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.5,2026-01-30 17:20:28,1769764270122_202fd60e,1769764270122_202fd60e17697648287490301,0.5411255411255411,0.5198743386243386,0.5217283950617283,0.5171433707047947,0.5640374836803408,0.5411255411255411,0.5491837081406602,0.5411255411255411,0.5411255411255411,0.5411255411255411,0.5369633000136753,First,4,infgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.35,2026-01-30 17:20:30,1769764270122_202fd60e,1769764270122_202fd60e17697648306531449,0.5238095238095238,0.5063283150863968,0.5069753086419753,0.5018468228443381,0.5508290271801176,0.5238095238095238,0.5328028532913706,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5211345260350146,First,4,infgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.5,2026-01-30 17:20:32,1769764270122_202fd60e,1769764270122_202fd60e17697648325172028,0.5238095238095238,0.5338482543958936,0.5367901234567901,0.5166528503995325,0.5794940353003425,0.5238095238095238,0.5336713110629133,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5320856750584789,First,4,infgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.35,2026-01-30 17:20:27,1769764270122_202fd60e,1769764270122_202fd60e17697648271694453,0.4329004329004329,0.614686826131445,0.5519753086419753,0.3984810915229634,0.6854219522142824,0.4329004329004328,0.3560370123529869,0.4329004329004329,0.4329004329004329,0.4329004329004328,0.4715462974403359,First,4,infgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.5,2026-01-30 17:20:29,1769764270122_202fd60e,1769764270122_202fd60e17697648292558941,0.7142857142857143,0.697443529666531,0.7118518518518518,0.6995917978439287,0.7335410087363603,0.7142857142857143,0.7193500612922851,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7128392036101919,First,4,infgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.35,2026-01-30 17:20:31,1769764270122_202fd60e,1769764270122_202fd60e17697648311178938,0.4870129870129869,0.6533151388520234,0.593641975308642,0.4687245567981747,0.7282301737709379,0.4870129870129869,0.4398754069148234,0.4870129870129869,0.4870129870129869,0.4870129870129869,0.5286139181553048,First,4,infgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.5,2026-01-30 17:20:33,1769764270122_202fd60e,1769764270122_202fd60e17697648330015851,0.6883116883116882,0.707799591520577,0.7230864197530864,0.6842854881198127,0.7590294139775006,0.6883116883116882,0.6936551292389694,0.6883116883116882,0.6883116883116882,0.6883116883116882,0.7010073104536089,First,4,infgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.35,2026-01-30 17:20:26,1769764270122_202fd60e,1769764270122_202fd60e17697648267888057,0.4155844155844155,0.6420758471315545,0.5443209876543209,0.3683726958912392,0.7224370298786948,0.4155844155844155,0.3172610094217717,0.4155844155844155,0.4155844155844155,0.4155844155844155,0.4599622084971748,First,4,infgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.5,2026-01-30 17:20:28,1769764270122_202fd60e,1769764270122_202fd60e17697648288707993,0.7012987012987013,0.692521048923488,0.7103703703703704,0.6910895951744479,0.7333473910128964,0.7012987012987013,0.7078354730378372,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.7039821217819986,First,4,infgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
