Metric,Mean,Std
Split_Ratio,0.15000000000000002,0.05000133552359227
Prob_Threshold,0.42499999999999993,0.07500200328538839
Accuracy,0.6891242438117438,0.08834111690324206
Macro_Precision,0.697349507182535,0.06460331489077015
Macro_Recall,0.6964208610319722,0.07809960808491216
Macro_F1,0.6682795378399955,0.09461006073801362
Weighted_Precision,0.7374014845543477,0.06545474426443114
Weighted_Recall,0.6891242438117438,0.08834111690324206
Weighted_F1,0.6845606777346017,0.10321646403199462
Micro_Precision,0.6891242438117438,0.08834111690324206
Micro_Recall,0.6891242438117438,0.08834111690324206
Micro_F1,0.6891242438117438,0.08834111690324205
Integrated_Score,0.6916929151377724,0.08148036225692809
