LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.1,0.35,2026-01-30 17:12:38,1769764270122_202fd60e,1769764270122_202fd60e17697643586200889,0.7467532467532467,0.7232949214168426,0.7283333333333333,0.7254612451041023,0.7504485896463378,0.7467532467532467,0.7482925598417249,0.7467532467532467,0.7467532467532467,0.7467532467532467,0.739972053882824,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.1,0.5,2026-01-30 17:12:39,1769764270122_202fd60e,1769764270122_202fd60e17697643596424329,0.6688311688311688,0.6336944197969043,0.63,0.6307323232323232,0.6650484116100798,0.6688311688311688,0.6659805850714942,0.6688311688311688,0.6688311688311688,0.6688311688311688,0.6549136869187384,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.2,0.35,2026-01-30 17:12:40,1769764270122_202fd60e,1769764270122_202fd60e17697643605283423,0.711038961038961,0.6830457220250327,0.6837962962962963,0.6833341082748252,0.7117061219984147,0.711038961038961,0.7112968756573164,0.711038961038961,0.711038961038961,0.711038961038961,0.7014650460373799,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.2,0.5,2026-01-30 17:12:41,1769764270122_202fd60e,1769764270122_202fd60e17697643613879552,0.6948051948051948,0.6749675931828807,0.6862037037037036,0.6773129891171437,0.7105144632238856,0.6948051948051948,0.6997198097207269,0.6948051948051948,0.6948051948051948,0.6948051948051948,0.6916455737588053,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/GradientBoosting,True,0.1,0.35,2026-01-30 17:12:38,1769764270122_202fd60e,1769764270122_202fd60e17697643588965629,0.7142857142857143,0.7349521203830369,0.7544444444444445,0.7119047619047619,0.7877662692984169,0.7142857142857143,0.7197278911564625,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.728175467086059,First,4,biMaxInfgain,MinMax__mixup__ADASYN,GradientBoosting,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/GradientBoosting,True,0.1,0.5,2026-01-30 17:12:39,1769764270122_202fd60e,1769764270122_202fd60e17697643599319880,0.7532467532467533,0.7554220465404676,0.7801851851851852,0.7479585946522862,0.8012572716520086,0.7532467532467533,0.7588201886801873,0.7532467532467533,0.7532467532467533,0.7532467532467533,0.7610019691363383,First,4,biMaxInfgain,MinMax__mixup__ADASYN,GradientBoosting,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/GradientBoosting,True,0.2,0.35,2026-01-30 17:12:40,1769764270122_202fd60e,1769764270122_202fd60e17697643608002307,0.7402597402597402,0.7536551955615591,0.7765740740740741,0.7369893265763852,0.8042594047744172,0.7402597402597402,0.745690181237235,0.7402597402597402,0.7402597402597402,0.7402597402597402,0.751954689716944,First,4,biMaxInfgain,MinMax__mixup__ADASYN,GradientBoosting,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/GradientBoosting,True,0.2,0.5,2026-01-30 17:12:41,1769764270122_202fd60e,1769764270122_202fd60e17697643616498400,0.724025974025974,0.7087800888946465,0.7257407407407407,0.7111532071036281,0.7457048461865642,0.724025974025974,0.7293651164066177,0.724025974025974,0.724025974025974,0.724025974025974,0.7237107057191214,First,4,biMaxInfgain,MinMax__mixup__ADASYN,GradientBoosting,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/LogisticRegression,True,0.1,0.35,2026-01-30 17:12:38,1769764270122_202fd60e,1769764270122_202fd60e17697643586989559,0.6753246753246753,0.726005934288609,0.732962962962963,0.6750592697961119,0.7872237040712942,0.6753246753246753,0.6775307433202169,0.6753246753246753,0.6753246753246753,0.6753246753246753,0.6976376322296058,First,4,biMaxInfgain,MinMax__mixup__ADASYN,LogisticRegression,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/LogisticRegression,True,0.1,0.5,2026-01-30 17:12:39,1769764270122_202fd60e,1769764270122_202fd60e17697643597175453,0.7207792207792207,0.7173260700218338,0.7381481481481481,0.712967587967588,0.7605411276784833,0.7207792207792207,0.727013246493766,0.7207792207792207,0.7207792207792207,0.7207792207792207,0.7259103480657377,First,4,biMaxInfgain,MinMax__mixup__ADASYN,LogisticRegression,MinMax,mixup,ADASYN
