Metric,Mean,Std
Accuracy,0.6901439995189995,0.0882913607402641
Macro_Precision,0.6992840550581138,0.0639430516346148
Macro_Recall,0.6986770190329217,0.0780764732200658
Macro_F1,0.6696773444840367,0.09503351387866818
Weighted_Precision,0.7398186562300064,0.06548182119685686
Weighted_Recall,0.6901439995189995,0.08829136074026411
Weighted_F1,0.6855150429440637,0.10386156812915427
Micro_Precision,0.6901439995189995,0.0882913607402641
Micro_Recall,0.6901439995189995,0.0882913607402641
Micro_F1,0.6901439995189995,0.0882913607402641
Integrated_Score,0.693114430953919,0.08140258588628625
