LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.35,2026-01-30 17:11:58,1769764270122_202fd60e,1769764270122_202fd60e17697643183116474,0.4935064935064934,0.4875123183050012,0.4864814814814815,0.477264943582579,0.5323515484269363,0.4935064935064934,0.503565371090184,0.4935064935064934,0.4935064935064934,0.4935064935064934,0.4951616794248535,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.5,2026-01-30 17:12:00,1769764270122_202fd60e,1769764270122_202fd60e17697643202075929,0.5064935064935064,0.5045388376181059,0.505,0.4937136975222409,0.5494552003698345,0.5064935064935064,0.5174177096094601,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.5101665174659518,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.35,2026-01-30 17:12:01,1769764270122_202fd60e,1769764270122_202fd60e17697643218071758,0.4837662337662337,0.4840707036019536,0.4832407407407406,0.470697628424559,0.5246255480630481,0.4837662337662337,0.4914484900866209,0.4837662337662337,0.4837662337662337,0.4837662337662337,0.4870221105237445,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.5,2026-01-30 17:12:03,1769764270122_202fd60e,1769764270122_202fd60e17697643233436510,0.4902597402597403,0.4973386409262161,0.4967592592592592,0.4787421233461995,0.5430804860513629,0.4902597402597403,0.4987561923746353,0.4902597402597403,0.4902597402597403,0.4902597402597403,0.4964464820857051,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.35,2026-01-30 17:11:58,1769764270122_202fd60e,1769764270122_202fd60e17697643188199627,0.3831168831168831,0.5449726134585289,0.5122222222222222,0.3309420737992166,0.6012362051094445,0.3831168831168831,0.2751487844252221,0.3831168831168831,0.3831168831168831,0.3831168831168831,0.4100034860594385,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.5,2026-01-30 17:12:00,1769764270122_202fd60e,1769764270122_202fd60e17697643206045532,0.6428571428571428,0.6817490276824525,0.6909259259259259,0.6421063186474145,0.7376265349841191,0.6428571428571428,0.6469533490081435,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.6615319561504405,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.35,2026-01-30 17:12:02,1769764270122_202fd60e,1769764270122_202fd60e17697643221864192,0.4025974025974025,0.6062228260869564,0.5357407407407409,0.347001043454517,0.6771725014116319,0.4025974025974026,0.2905929326758433,0.4025974025974025,0.4025974025974025,0.4025974025974025,0.4385916642824479,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.5,2026-01-30 17:12:03,1769764270122_202fd60e,1769764270122_202fd60e17697643237059747,0.6266233766233766,0.6607819214642379,0.6699074074074074,0.6250023338538762,0.7137920216081916,0.6266233766233766,0.6306722481685346,0.6266233766233766,0.6266233766233766,0.6266233766233766,0.6434486730006959,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.35,2026-01-30 17:11:58,1769764270122_202fd60e,1769764270122_202fd60e17697643184944469,0.4285714285714285,0.6615604575163399,0.5557407407407406,0.3864568972508312,0.746058271793566,0.4285714285714285,0.338678254678579,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4765347912230475,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.5,2026-01-30 17:12:00,1769764270122_202fd60e,1769764270122_202fd60e17697643202838446,0.7207792207792207,0.7217140921409214,0.7424074074074074,0.7141385176610895,0.7663877450462816,0.7207792207792207,0.7268541991524209,0.7207792207792207,0.7207792207792207,0.7207792207792207,0.7275115202931757,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
