Metric,Mean,Std
Accuracy,0.6882530663780664,0.09073617235261129
Macro_Precision,0.6966764783841055,0.0655903099440925
Macro_Recall,0.6960755851337449,0.07949682842348293
Macro_F1,0.6673817306665611,0.09749373393038813
Weighted_Precision,0.7368508219862201,0.06651778013833379
Weighted_Recall,0.6882530663780664,0.09073617235261129
Weighted_F1,0.6833481288074315,0.10677558874669563
Micro_Precision,0.6882530663780664,0.09073617235261129
Micro_Recall,0.6882530663780664,0.09073617235261129
Micro_F1,0.6882530663780663,0.09073617235261128
Integrated_Score,0.6908709940227323,0.08377787045644919
