LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.35,2026-01-30 17:20:26,1769764270122_202fd60e,1769764270122_202fd60e17697648266678980,0.551948051948052,0.5565535109865463,0.5612962962962963,0.542002442002442,0.60287244119532,0.551948051948052,0.561186432615004,0.551948051948052,0.551948051948052,0.551948051948052,0.5583297768196538,First,4,infgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.5,2026-01-30 17:20:28,1769764270122_202fd60e,1769764270122_202fd60e17697648287490301,0.5649350649350648,0.5461309523809523,0.5499999999999999,0.5436008722926959,0.5892470624613482,0.5649350649350648,0.5729559090719796,0.5649350649350648,0.5649350649350648,0.5649350649350648,0.5619953446629572,First,4,infgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.35,2026-01-30 17:20:30,1769764270122_202fd60e,1769764270122_202fd60e17697648306531449,0.525974025974026,0.5144889663182346,0.5157407407407407,0.5086071595538636,0.5586436792011705,0.525974025974026,0.5361846128225611,0.525974025974026,0.525974025974026,0.525974025974026,0.5259957148720886,First,4,infgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.5,2026-01-30 17:20:32,1769764270122_202fd60e,1769764270122_202fd60e17697648325172028,0.538961038961039,0.5549896555479563,0.5598148148148148,0.5345298373970515,0.6011363506352851,0.538961038961039,0.5479752286693735,0.538961038961039,0.538961038961039,0.538961038961039,0.549554257594185,First,4,infgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.35,2026-01-30 17:20:27,1769764270122_202fd60e,1769764270122_202fd60e17697648271694453,0.435064935064935,0.6090773406464428,0.5522222222222222,0.4019601430315715,0.6779776488183178,0.435064935064935,0.3607180801058351,0.435064935064935,0.435064935064935,0.435064935064935,0.4723554286652832,First,4,infgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.5,2026-01-30 17:20:29,1769764270122_202fd60e,1769764270122_202fd60e17697648292558941,0.7012987012987013,0.6864177489177489,0.7018518518518518,0.6876779266509505,0.7246444032158318,0.7012987012987013,0.7071225691738359,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.7010309552917415,First,4,infgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.35,2026-01-30 17:20:31,1769764270122_202fd60e,1769764270122_202fd60e17697648311178938,0.4707792207792207,0.6552178063172509,0.5839814814814814,0.4474683757702592,0.7328150849497604,0.4707792207792207,0.4136747916657228,0.4707792207792207,0.4707792207792207,0.4707792207792207,0.5146846007019348,First,4,infgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.5,2026-01-30 17:20:33,1769764270122_202fd60e,1769764270122_202fd60e17697648330015851,0.685064935064935,0.7179229624542124,0.7319444444444444,0.6838650442909125,0.7739172038279182,0.685064935064935,0.6896745860572632,0.685064935064935,0.685064935064935,0.685064935064935,0.7024353796508577,First,4,infgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.35,2026-01-30 17:20:26,1769764270122_202fd60e,1769764270122_202fd60e17697648267888057,0.396103896103896,0.6410988453241975,0.5307407407407407,0.3392611714964334,0.7234113114394805,0.396103896103896,0.2815007984653462,0.396103896103896,0.396103896103896,0.396103896103896,0.4410809436862671,First,4,infgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/infgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.5,2026-01-30 17:20:28,1769764270122_202fd60e,1769764270122_202fd60e17697648288707993,0.7012987012987013,0.6925756113256113,0.7103703703703703,0.6910910472183264,0.7333755369469656,0.7012987012987013,0.7078214270535448,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.7039885035245558,First,4,infgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
