Metric,Mean,Std
Accuracy,0.6911537247474748,0.08170560914577903
Macro_Precision,0.6984633450419606,0.06130344549852162
Macro_Recall,0.6971418627829219,0.07400331149228644
Macro_F1,0.6705609664308159,0.08650729691804493
Weighted_Precision,0.7383267039843159,0.06218020788955833
Weighted_Recall,0.6911537247474748,0.08170560914577903
Weighted_F1,0.6875918663471904,0.09338016124138541
Micro_Precision,0.6911537247474748,0.08170560914577903
Micro_Recall,0.6911537247474748,0.08170560914577903
Micro_F1,0.6911537247474747,0.08170560914577901
Integrated_Score,0.6935776059966106,0.07496320247691607
