LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.1,0.35,2026-01-30 17:11:58,1769764270122_202fd60e,1769764270122_202fd60e17697643182244504,0.422077922077922,0.6567028985507246,0.5507407407407408,0.3775796760710553,0.7405773574251835,0.422077922077922,0.3280009567235272,0.422077922077922,0.422077922077922,0.422077922077922,0.469470363422021,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.1,0.5,2026-01-30 17:12:00,1769764270122_202fd60e,1769764270122_202fd60e17697643201196444,0.577922077922078,0.6274299599771298,0.6281481481481481,0.5763567115817667,0.6821448991260313,0.577922077922078,0.5784973755680527,0.577922077922078,0.577922077922078,0.577922077922078,0.5981692449664349,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.2,0.35,2026-01-30 17:12:01,1769764270122_202fd60e,1769764270122_202fd60e17697643217243272,0.435064935064935,0.6684702159154714,0.5628703703703704,0.3935736407365822,0.7539212612205313,0.435064935064935,0.3463237534250371,0.435064935064935,0.435064935064935,0.435064935064935,0.4835367679008541,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.2,0.5,2026-01-30 17:12:03,1769764270122_202fd60e,1769764270122_202fd60e17697643232590870,0.6266233766233766,0.6801420737110693,0.6826851851851852,0.6262084529287864,0.739288070625365,0.6266233766233766,0.6279957141816761,0.6266233766233766,0.6266233766233766,0.6266233766233766,0.6489915086680818,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.1,0.35,2026-01-30 17:12:08,1769764270122_202fd60e,1769764270122_202fd60e17697643281593150,0.5649350649350648,0.723155737704918,0.665,0.5566592975561067,0.805849478390462,0.5649350649350648,0.5385867602507757,0.5649350649350648,0.5649350649350648,0.5649350649350648,0.6096614562545961,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.1,0.5,2026-01-30 17:12:09,1769764270122_202fd60e,1769764270122_202fd60e17697643291322002,0.6948051948051948,0.6861455521817363,0.701111111111111,0.6834053064093206,0.7258310950745162,0.6948051948051948,0.7008318702625733,0.6948051948051948,0.6948051948051948,0.6948051948051948,0.6968664302595983,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.2,0.35,2026-01-30 17:12:10,1769764270122_202fd60e,1769764270122_202fd60e17697643300441004,0.4935064935064935,0.6473641767218088,0.5972222222222222,0.4776348914474716,0.7196391038639367,0.4935064935064935,0.4509102787188244,0.4935064935064935,0.4935064935064935,0.4935064935064935,0.5331069232083384,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.2,0.5,2026-01-30 17:12:10,1769764270122_202fd60e,1769764270122_202fd60e17697643309490964,0.6590909090909092,0.6467898583459828,0.6587037037037038,0.6431618505396384,0.6885644808770974,0.6590909090909092,0.664909132932234,0.6590909090909092,0.6590909090909092,0.6590909090909092,0.6592528154498227,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.1,0.35,2026-01-30 17:12:19,1769764270122_202fd60e,1769764270122_202fd60e17697643391566740,0.448051948051948,0.6363095238095238,0.5664814814814814,0.4166662227495111,0.7111626468769325,0.448051948051948,0.3766451145628944,0.448051948051948,0.448051948051948,0.448051948051948,0.4896128450344337,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.1,0.5,2026-01-30 17:12:20,1769764270122_202fd60e,1769764270122_202fd60e17697643408721347,0.5714285714285714,0.6292064544650752,0.6274074074074074,0.5711392405063291,0.6859907334045265,0.5714285714285714,0.5713408953915282,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5942039084838078,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
