Metric,Mean,Std
Accuracy,0.6921588827838827,0.1003636094649541
Macro_Precision,0.7098222070167783,0.05555797327045569
Macro_Recall,0.7067831196581197,0.07712885958771781
Macro_F1,0.671126352391722,0.10865981229169906
Weighted_Precision,0.7508337377106522,0.055259759292435456
Weighted_Recall,0.6921588827838827,0.1003636094649541
Weighted_F1,0.6835819682749849,0.12352057421749175
Micro_Precision,0.6921588827838827,0.1003636094649541
Micro_Recall,0.6921588827838827,0.1003636094649541
Micro_F1,0.6921588827838827,0.10036360946495408
Integrated_Score,0.6968137076521139,0.09003279993382464
