Metric,Mean,Std
Accuracy,0.706620115995116,0.0712843086061522
Macro_Precision,0.6961816466317515,0.06447090129923409
Macro_Recall,0.6931881726812282,0.07600561411593194
Macro_F1,0.679019898429574,0.0787442944034959
Weighted_Precision,0.7283330339877163,0.06275383163604191
Weighted_Recall,0.706620115995116,0.0712843086061522
Weighted_F1,0.7032720458126346,0.07591419196213248
Micro_Precision,0.706620115995116,0.0712843086061522
Micro_Recall,0.706620115995116,0.0712843086061522
Micro_F1,0.706620115995116,0.0712843086061522
Integrated_Score,0.7017621233644471,0.0698692832740129
