Metric,Mean,Std
Accuracy,0.689230907980908,0.08860547048626242
Macro_Precision,0.6976510653350779,0.06462963579250836
Macro_Recall,0.6966414411206078,0.07831626014807354
Macro_F1,0.6684639020844656,0.09474078981601879
Weighted_Precision,0.737723003036644,0.06536590346363579
Weighted_Recall,0.689230907980908,0.08860547048626242
Weighted_F1,0.6846889747231906,0.10338926834004804
Micro_Precision,0.689230907980908,0.08860547048626242
Micro_Recall,0.689230907980908,0.08860547048626242
Micro_F1,0.6892309079809079,0.08860547048626242
Integrated_Score,0.6918668456627444,0.08166843066595543
