LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.35,2026-01-30 21:09:35,1769764270122_202fd60e,1769764270122_202fd60e17697785757052217,0.4675324675324675,0.4809523809523809,0.4792592592592593,0.4617220801364024,0.5250463821892394,0.4675324675324675,0.4784269439000897,0.4675324675324675,0.4675324675324675,0.4675324675324675,0.4765611428585486,First,8,noSelect,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.5,2026-01-30 21:09:40,1769764270122_202fd60e,1769764270122_202fd60e17697785808229824,0.4545454545454545,0.4868794326241135,0.4862962962962963,0.4537162162162161,0.5306254029658284,0.4545454545454545,0.4600737100737101,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.4692667839502944,First,8,noSelect,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.35,2026-01-30 21:09:45,1769764270122_202fd60e,1769764270122_202fd60e17697785857788010,0.512987012987013,0.5329387545033453,0.5355555555555556,0.5094916549878965,0.5788277599909097,0.512987012987013,0.5218598448309238,0.512987012987013,0.512987012987013,0.512987012987013,0.5246297371726092,First,8,noSelect,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.5,2026-01-30 21:09:50,1769764270122_202fd60e,1769764270122_202fd60e17697785906135260,0.487012987012987,0.518861272695223,0.5198148148148148,0.4859509020999704,0.5646431833634371,0.487012987012987,0.4929303172426508,0.487012987012987,0.487012987012987,0.487012987012987,0.5019693047939353,First,8,noSelect,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.35,2026-01-30 21:09:37,1769764270122_202fd60e,1769764270122_202fd60e17697785774652227,0.4155844155844156,0.6875,0.55,0.3636363636363636,0.7808441558441559,0.4155844155844156,0.3093270365997638,0.4155844155844156,0.4155844155844156,0.4155844155844156,0.4690126918536009,First,8,noSelect,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.5,2026-01-30 21:09:42,1769764270122_202fd60e,1769764270122_202fd60e17697785825542092,0.5454545454545454,0.5876436781609196,0.5903703703703703,0.5451476793248945,0.6387147335423198,0.5454545454545454,0.5486766398158803,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5639283442602951,First,8,noSelect,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.35,2026-01-30 21:09:47,1769764270122_202fd60e,1769764270122_202fd60e17697785874537261,0.4025974025974026,0.6340277777777779,0.5357407407407409,0.3494949494949494,0.713474025974026,0.4025974025974026,0.293978748524203,0.4025974025974026,0.4025974025974026,0.4025974025974025,0.4458842701910882,First,8,noSelect,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.5,2026-01-30 21:09:52,1769764270122_202fd60e,1769764270122_202fd60e17697785923198959,0.5714285714285714,0.6659090909090909,0.6487037037037038,0.5696138211382114,0.7317591499409681,0.5714285714285714,0.5612659698025552,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6028405916679197,First,8,noSelect,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.35,2026-01-30 21:09:36,1769764270122_202fd60e,1769764270122_202fd60e17697785762268236,0.4935064935064935,0.7045454545454546,0.61,0.4706504494976203,0.7927981109799291,0.4935064935064935,0.437794886234865,0.4935064935064935,0.4935064935064935,0.4935064935064935,0.5444037543150085,First,8,noSelect,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.5,2026-01-30 21:09:41,1769764270122_202fd60e,1769764270122_202fd60e17697785813362158,0.7662337662337663,0.7682186234817814,0.7944444444444444,0.7613636363636364,0.8138703401861297,0.7662337662337663,0.7715466351829988,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.7740833880367372,First,8,noSelect,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.2,0.35,2026-01-30 21:09:46,1769764270122_202fd60e,1769764270122_202fd60e17697785862995977,0.4155844155844156,0.6449530516431925,0.5457407407407409,0.3686224489795918,0.7261142613255288,0.4155844155844156,0.3171879141266896,0.4155844155844156,0.4155844155844156,0.4155844155844156,0.4607861260706546,First,8,noSelect,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.2,0.5,2026-01-30 21:09:51,1769764270122_202fd60e,1769764270122_202fd60e17697785911238554,0.7532467532467533,0.7416666666666667,0.7631481481481481,0.7435133239831697,0.7797155225726654,0.7532467532467533,0.7584379155206644,0.7532467532467533,0.7532467532467533,0.7532467532467532,0.7550444209630243,First,8,noSelect,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/8/noSelect/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.1,0.35,2026-01-30 21:09:35,1769764270122_202fd60e,1769764270122_202fd60e17697785752021081,0.4025974025974026,0.684931506849315,0.54,0.3440740740740741,0.779042874933286,0.4025974025974026,0.2855507455507455,0.4025974025974026,0.4025974025974026,0.4025974025974025,0.455880122160944,First,8,noSelect,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
