LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.35,2026-01-30 17:25:40,1769764270122_202fd60e,1769764270122_202fd60e17697651404745778,0.5541125541125541,0.5775726220557696,0.5828395061728395,0.5511520217760705,0.6259122948272857,0.5541125541125541,0.5617743405958235,0.5541125541125541,0.5541125541125541,0.5541125541125541,0.5672164183063951,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.5,2026-01-30 17:25:42,1769764270122_202fd60e,1769764270122_202fd60e17697651427341077,0.5627705627705627,0.5563647027628876,0.5611111111111111,0.5497146195788326,0.5986458381240004,0.5627705627705627,0.5721790826398846,0.5627705627705627,0.5627705627705627,0.5627705627705627,0.5650044456408324,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.35,2026-01-30 17:25:44,1769764270122_202fd60e,1769764270122_202fd60e17697651447731793,0.4978354978354978,0.5132837827969438,0.5139506172839506,0.4917916233713088,0.5585790226574455,0.4978354978354978,0.5069190542462841,0.4978354978354978,0.4978354978354978,0.4978354978354978,0.507522143050672,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.5,2026-01-30 17:25:46,1769764270122_202fd60e,1769764270122_202fd60e17697651467958040,0.5216450216450217,0.5230332239746504,0.5251851851851851,0.5102594870340393,0.5686091287123166,0.5216450216450217,0.5318675598601155,0.5216450216450217,0.5216450216450217,0.5216450216450217,0.526659819479347,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.35,2026-01-30 17:25:41,1769764270122_202fd60e,1769764270122_202fd60e17697651410545795,0.3722943722943723,0.6230243401296033,0.5138271604938272,0.3002786211187954,0.7024384261226366,0.3722943722943723,0.2332758443596017,0.3722943722943723,0.3722943722943723,0.3722943722943723,0.4128799114141151,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.1,0.5,2026-01-30 17:25:43,1769764270122_202fd60e,1769764270122_202fd60e17697651433154863,0.541125541125541,0.6601816886097241,0.6296296296296297,0.5349532466120167,0.7291254065294833,0.5411255411255411,0.5195727657933548,0.541125541125541,0.541125541125541,0.541125541125541,0.5765227907879057,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.35,2026-01-30 17:25:45,1769764270122_202fd60e,1769764270122_202fd60e17697651453250538,0.4112554112554112,0.6439371980676328,0.5409876543209876,0.3620711326086579,0.7254018445322794,0.4112554112554112,0.3096458983882919,0.4112554112554112,0.4112554112554112,0.4112554112554112,0.4562923888437968,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/GradientBoosting,True,0.2,0.5,2026-01-30 17:25:47,1769764270122_202fd60e,1769764270122_202fd60e17697651473475127,0.5670995670995671,0.6380632987933899,0.6311728395061728,0.5658095769897012,0.6973415504123445,0.5670995670995671,0.5622142988118627,0.5670995670995671,0.5670995670995671,0.5670995670995671,0.592701177081252,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,GradientBoosting,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.35,2026-01-30 17:25:40,1769764270122_202fd60e,1769764270122_202fd60e17697651406192658,0.4415584415584415,0.6787073276799305,0.5671604938271605,0.4017532191909116,0.7663806078678878,0.4415584415584415,0.3562850305018756,0.4415584415584415,0.4415584415584415,0.4415584415584415,0.4915539570147924,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/5/biMaxInfgain/MinMax__gaussian_noise__ADASYN/LogisticRegression,True,0.1,0.5,2026-01-30 17:25:42,1769764270122_202fd60e,1769764270122_202fd60e17697651428783170,0.7532467532467533,0.7446540617272325,0.7674074074074074,0.7447332566853956,0.7846033145684713,0.7532467532467533,0.7586345877958282,0.7532467532467533,0.7532467532467533,0.7532467532467533,0.7564703563411957,First,5,biMaxInfgain,MinMax__gaussian_noise__ADASYN,LogisticRegression,MinMax,gaussian_noise,ADASYN
