LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.1,0.35,2026-01-30 17:12:19,1769764270122_202fd60e,1769764270122_202fd60e17697643392418330,0.4458874458874458,0.4526651651651651,0.448395061728395,0.4366498531779861,0.4963186748901034,0.4458874458874458,0.4575899969122475,0.4458874458874458,0.4458874458874458,0.4458874458874458,0.4522288460468797,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.1,0.5,2026-01-30 17:12:20,1769764270122_202fd60e,1769764270122_202fd60e17697643409575492,0.4891774891774891,0.4911375530759356,0.4902469135802469,0.4782783950347238,0.535909319606367,0.4891774891774891,0.5006240346085717,0.4891774891774891,0.4891774891774891,0.4891774891774891,0.4942357387437448,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.2,0.35,2026-01-30 17:12:22,1769764270122_202fd60e,1769764270122_202fd60e17697643425192928,0.5497835497835498,0.5469167491686789,0.5511111111111111,0.5371365671181959,0.5912677158117389,0.5497835497835498,0.5592243754950386,0.5497835497835498,0.5497835497835498,0.5497835497835498,0.5532971189145579,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.2,0.5,2026-01-30 17:12:24,1769764270122_202fd60e,1769764270122_202fd60e17697643440463606,0.5043290043290044,0.5137349764685283,0.5146913580246913,0.49565495072262,0.5594131962418271,0.5043290043290044,0.5138765983643686,0.5043290043290044,0.5043290043290044,0.5043290043290044,0.5119452871681546,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/GradientBoosting,True,0.1,0.35,2026-01-30 17:12:19,1769764270122_202fd60e,1769764270122_202fd60e17697643396396651,0.4112554112554112,0.563044733044733,0.538148148148148,0.363647147908616,0.6205048631022657,0.4112554112554112,0.3124612217122356,0.4112554112554112,0.4112554112554112,0.4112554112554112,0.4380881943748069,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,GradientBoosting,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/GradientBoosting,True,0.1,0.5,2026-01-30 17:12:21,1769764270122_202fd60e,1769764270122_202fd60e17697643413821462,0.670995670995671,0.6851474534401364,0.7012345679012345,0.6668232465847229,0.7347112280593434,0.670995670995671,0.6777508769014965,0.670995670995671,0.670995670995671,0.670995670995671,0.6821937118612725,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,GradientBoosting,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/GradientBoosting,True,0.2,0.35,2026-01-30 17:12:22,1769764270122_202fd60e,1769764270122_202fd60e17697643428881232,0.512987012987013,0.6872138223518723,0.6207407407407407,0.4965746761284863,0.7676049110783488,0.512987012987013,0.4697960094380853,0.512987012987013,0.512987012987013,0.512987012987013,0.557706355446887,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,GradientBoosting,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/GradientBoosting,True,0.2,0.5,2026-01-30 17:12:24,1769764270122_202fd60e,1769764270122_202fd60e17697643444169185,0.6450216450216449,0.6540199624741551,0.6670370370370371,0.6386138111500405,0.7009102265895711,0.6450216450216449,0.6520481416475227,0.6450216450216449,0.6450216450216449,0.6450216450216449,0.6538046735383687,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,GradientBoosting,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/LogisticRegression,True,0.1,0.35,2026-01-30 17:12:19,1769764270122_202fd60e,1769764270122_202fd60e17697643393171396,0.5108225108225107,0.6709728867623604,0.6148148148148147,0.4948282500486303,0.7469265450126694,0.5108225108225107,0.4690483321330321,0.5108225108225107,0.5108225108225107,0.5108225108225107,0.552181916315238,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,LogisticRegression,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/LogisticRegression,True,0.1,0.5,2026-01-30 17:12:21,1769764270122_202fd60e,1769764270122_202fd60e17697643410363117,0.7142857142857143,0.6987539554229021,0.7146913580246913,0.7008631154416903,0.7358480966863009,0.7142857142857143,0.7197829592824924,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7137405379363023,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,LogisticRegression,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/LogisticRegression,True,0.2,0.35,2026-01-30 17:12:22,1769764270122_202fd60e,1769764270122_202fd60e17697643425955324,0.5454545454545454,0.7015861921623929,0.6457407407407408,0.535893646138793,0.781363964828596,0.5454545454545454,0.5160506391688678,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5888425507511401,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,LogisticRegression,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/LogisticRegression,True,0.2,0.5,2026-01-30 17:12:24,1769764270122_202fd60e,1769764270122_202fd60e17697643441234384,0.670995670995671,0.6557203360554933,0.6685802469135802,0.6561000414240188,0.6949105569577436,0.670995670995671,0.67745030611283,0.670995670995671,0.670995670995671,0.670995670995671,0.6703519345214772,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,LogisticRegression,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.1,0.35,2026-01-30 17:12:19,1769764270122_202fd60e,1769764270122_202fd60e17697643391566740,0.4415584415584415,0.6542532975631566,0.5643209876543209,0.4053285022411707,0.7350071569387464,0.4415584415584415,0.3618839150535914,0.4415584415584415,0.4415584415584415,0.4415584415584415,0.4870633834332132,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.1,0.5,2026-01-30 17:12:20,1769764270122_202fd60e,1769764270122_202fd60e17697643408721347,0.5800865800865801,0.633790893015031,0.634074074074074,0.579803094233474,0.6900297977884184,0.5800865800865801,0.5809794143971359,0.5800865800865801,0.5800865800865801,0.5800865800865801,0.6019414848169756,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.2,0.35,2026-01-30 17:12:22,1769764270122_202fd60e,1769764270122_202fd60e17697643424363356,0.5108225108225107,0.66614016359252,0.6133950617283951,0.496080431998783,0.7409405205391427,0.5108225108225107,0.4712552221187283,0.5108225108225107,0.5108225108225107,0.5108225108225107,0.5514769270326366,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.2,0.5,2026-01-30 17:12:23,1769764270122_202fd60e,1769764270122_202fd60e17697643439621934,0.6320346320346321,0.6565900842154284,0.6655555555555556,0.6271807825561199,0.7062956647998796,0.6320346320346321,0.6357848038557826,0.6320346320346321,0.6320346320346321,0.6320346320346321,0.6451028212327244,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/random_forest,True,0.1,0.35,2026-01-30 17:12:19,1769764270122_202fd60e,1769764270122_202fd60e17697643390601804,0.4285714285714285,0.5650917118793203,0.5344444444444445,0.4049422723692504,0.6236555326039853,0.4285714285714285,0.3701810699351989,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4600162416670137,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,random_forest,MinMax,gaussian_noise,SMOTE
