LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.1,0.35,2026-01-30 17:11:58,1769764270122_202fd60e,1769764270122_202fd60e17697643182244504,0.4199134199134199,0.6425638371290545,0.5476543209876543,0.3761545823834165,0.7226607243687989,0.4199134199134198,0.3268947615974917,0.4199134199134199,0.4199134199134199,0.4199134199134199,0.4647106578110548,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.1,0.5,2026-01-30 17:12:00,1769764270122_202fd60e,1769764270122_202fd60e17697643201196444,0.5714285714285714,0.6295025728987993,0.6274074074074075,0.5701612311446013,0.685861308502818,0.5714285714285714,0.5698728262532776,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5938536660620127,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.2,0.35,2026-01-30 17:12:01,1769764270122_202fd60e,1769764270122_202fd60e17697643217243272,0.4437229437229437,0.6554598430254045,0.5659876543209877,0.4084748610550333,0.7363358678753524,0.4437229437229437,0.3657164810197758,0.4437229437229437,0.4437229437229437,0.4437229437229437,0.4893962153225732,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.2,0.5,2026-01-30 17:12:03,1769764270122_202fd60e,1769764270122_202fd60e17697643232590870,0.5909090909090909,0.6369250103375338,0.639567901234568,0.5901990621983103,0.6922054166032575,0.5909090909090909,0.5938826939579623,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.6108457326046131,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.1,0.35,2026-01-30 17:12:08,1769764270122_202fd60e,1769764270122_202fd60e17697643281593150,0.5757575757575757,0.7263566986998304,0.6733333333333333,0.5687759909254407,0.8080943081791019,0.5757575757575757,0.5525174638058356,0.5757575757575757,0.5757575757575757,0.5757575757575757,0.619275482533948,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.1,0.5,2026-01-30 17:12:09,1769764270122_202fd60e,1769764270122_202fd60e17697643291322002,0.6883116883116883,0.6774486079752388,0.6918518518518518,0.6758279926270728,0.7169133766643486,0.6883116883116883,0.6944661213631633,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.6894901760723545,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.2,0.35,2026-01-30 17:12:10,1769764270122_202fd60e,1769764270122_202fd60e17697643300441004,0.4826839826839826,0.6361756010186735,0.5874691358024692,0.4654979422035967,0.7068811180697664,0.4826839826839826,0.4372046808803234,0.4826839826839826,0.4826839826839826,0.4826839826839826,0.5215315720252719,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.2,0.5,2026-01-30 17:12:10,1769764270122_202fd60e,1769764270122_202fd60e17697643309490964,0.683982683982684,0.671403525910678,0.6856790123456791,0.6696154078672665,0.7118413397939963,0.683982683982684,0.6896750016904024,0.683982683982684,0.683982683982684,0.683982683982684,0.6843790228317591,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.1,0.35,2026-01-30 17:12:19,1769764270122_202fd60e,1769764270122_202fd60e17697643391566740,0.4415584415584415,0.6542532975631566,0.5643209876543209,0.4053285022411707,0.7350071569387464,0.4415584415584415,0.3618839150535914,0.4415584415584415,0.4415584415584415,0.4415584415584415,0.4870633834332132,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.1,0.5,2026-01-30 17:12:20,1769764270122_202fd60e,1769764270122_202fd60e17697643408721347,0.5800865800865801,0.633790893015031,0.634074074074074,0.579803094233474,0.6900297977884184,0.5800865800865801,0.5809794143971359,0.5800865800865801,0.5800865800865801,0.5800865800865801,0.6019414848169756,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
