Metric,Mean,Std
Accuracy,0.6871693121693122,0.09104901998629061
Macro_Precision,0.6956761478706137,0.06549221330156388
Macro_Recall,0.6950971472050754,0.07967485629380039
Macro_F1,0.6661701732406035,0.0979715730544924
Weighted_Precision,0.7358756369475703,0.06628888740640447
Weighted_Recall,0.6871693121693122,0.09104901998629061
Weighted_F1,0.682109661739243,0.10740646293656882
Micro_Precision,0.6871693121693122,0.09104901998629061
Micro_Recall,0.6871693121693122,0.09104901998629061
Micro_F1,0.6871693121693122,0.09104901998629061
Integrated_Score,0.6897745933170276,0.08413789858558031
