LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.35,2026-01-30 17:11:58,1769764270122_202fd60e,1769764270122_202fd60e17697643183116474,0.4891774891774891,0.4832289329240548,0.4817283950617284,0.4732692216476452,0.5280904554740474,0.4891774891774891,0.499791536474745,0.4891774891774891,0.4891774891774891,0.4891774891774891,0.4909348877353371,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.5,2026-01-30 17:12:00,1769764270122_202fd60e,1769764270122_202fd60e17697643202075929,0.5194805194805194,0.5257531644726767,0.5277777777777778,0.510035049437023,0.5715376266928374,0.5194805194805194,0.5293858475131156,0.5194805194805194,0.5194805194805194,0.5194805194805194,0.5262121992290577,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.35,2026-01-30 17:12:01,1769764270122_202fd60e,1769764270122_202fd60e17697643218071758,0.4675324675324674,0.4715061549099284,0.4693209876543209,0.4564970145872182,0.5129970965840853,0.4675324675324674,0.4766168206954618,0.4675324675324674,0.4675324675324674,0.4675324675324674,0.4723624862202222,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.5,2026-01-30 17:12:03,1769764270122_202fd60e,1769764270122_202fd60e17697643233436510,0.5043290043290043,0.5071221570138739,0.5075925925925926,0.4920780822307997,0.5523835976975157,0.5043290043290043,0.5135106217562505,0.5043290043290043,0.5043290043290043,0.5043290043290043,0.5092797420600573,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/DTmodel,True,0.1,0.35,2026-01-30 17:12:08,1769764270122_202fd60e,1769764270122_202fd60e17697643282357310,0.5541125541125541,0.5412178594231721,0.5430864197530864,0.5322198969564049,0.585174888689004,0.5541125541125541,0.5600262606989299,0.5541125541125541,0.5541125541125541,0.5541125541125541,0.552429862079848,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,DTmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/DTmodel,True,0.1,0.5,2026-01-30 17:12:09,1769764270122_202fd60e,1769764270122_202fd60e17697643292096096,0.5887445887445887,0.5929385707771481,0.6009876543209877,0.579961646596575,0.637851758039368,0.5887445887445887,0.5970689186514316,0.5887445887445887,0.5887445887445887,0.5887445887445887,0.5952302185987867,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,DTmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/DTmodel,True,0.2,0.35,2026-01-30 17:12:10,1769764270122_202fd60e,1769764270122_202fd60e17697643301223045,0.5021645021645021,0.5117828718521779,0.5130246913580246,0.49415970480235,0.5559908950634627,0.5021645021645021,0.5113351891434922,0.5021645021645021,0.5021645021645021,0.5021645021645021,0.5097698807850436,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,DTmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/DTmodel,True,0.2,0.5,2026-01-30 17:12:11,1769764270122_202fd60e,1769764270122_202fd60e17697643310296072,0.5887445887445888,0.5870717114226363,0.5953086419753086,0.5784982409939246,0.6309592414021838,0.5887445887445888,0.597893793825116,0.5887445887445888,0.5887445887445888,0.5887445887445888,0.5932906002007043,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,DTmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.1,0.35,2026-01-30 17:12:19,1769764270122_202fd60e,1769764270122_202fd60e17697643392418330,0.4458874458874458,0.4526651651651651,0.448395061728395,0.4366498531779861,0.4963186748901034,0.4458874458874458,0.4575899969122475,0.4458874458874458,0.4458874458874458,0.4458874458874458,0.4522288460468797,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.1,0.5,2026-01-30 17:12:20,1769764270122_202fd60e,1769764270122_202fd60e17697643409575492,0.4891774891774891,0.4911375530759356,0.4902469135802469,0.4782783950347238,0.535909319606367,0.4891774891774891,0.5006240346085717,0.4891774891774891,0.4891774891774891,0.4891774891774891,0.4942357387437448,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.2,0.35,2026-01-30 17:12:22,1769764270122_202fd60e,1769764270122_202fd60e17697643425192928,0.5497835497835498,0.5469167491686789,0.5511111111111111,0.5371365671181959,0.5912677158117389,0.5497835497835498,0.5592243754950386,0.5497835497835498,0.5497835497835498,0.5497835497835498,0.5532971189145579,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.2,0.5,2026-01-30 17:12:24,1769764270122_202fd60e,1769764270122_202fd60e17697643440463606,0.5043290043290044,0.5137349764685283,0.5146913580246913,0.49565495072262,0.5594131962418271,0.5043290043290044,0.5138765983643686,0.5043290043290044,0.5043290043290044,0.5043290043290044,0.5119452871681546,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/DTmodel,True,0.1,0.35,2026-01-30 17:12:30,1769764270122_202fd60e,1769764270122_202fd60e17697643504654877,0.5584415584415584,0.5121682519161511,0.5123456790123456,0.5120807059219824,0.5557610616674242,0.5584415584415584,0.5569401445066148,0.5584415584415584,0.5584415584415584,0.5584415584415584,0.5417572502005049,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,DTmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/DTmodel,True,0.1,0.5,2026-01-30 17:12:31,1769764270122_202fd60e,1769764270122_202fd60e17697643517603536,0.5974025974025974,0.5691751256406429,0.5650617283950617,0.563986206918485,0.6061083291490815,0.5974025974025974,0.5989123754029155,0.5974025974025974,0.5974025974025974,0.5974025974025974,0.5874303446277275,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,DTmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/DTmodel,True,0.2,0.35,2026-01-30 17:12:32,1769764270122_202fd60e,1769764270122_202fd60e17697643529779823,0.6060606060606061,0.572248729740606,0.5745679012345679,0.572010664102831,0.6119235888166613,0.6060606060606061,0.6077297185446028,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.5952593218005409,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,DTmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/DTmodel,True,0.2,0.5,2026-01-30 17:12:34,1769764270122_202fd60e,1769764270122_202fd60e17697643542572649,0.5606060606060606,0.5194783264476359,0.5196913580246915,0.5168860460105527,0.5627514971272237,0.5606060606060606,0.5592092650913609,0.5606060606060606,0.5606060606060606,0.5606060606060606,0.5458488390676662,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,DTmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/DTmodel,True,0.1,0.35,2026-01-30 17:11:20,1769764270122_202fd60e,1769764270122_202fd60e17697642809690313,0.6017316017316018,0.5600633733312556,0.562716049382716,0.5602291891803386,0.6007691510262805,0.6017316017316018,0.6002109576247507,0.6017316017316018,0.6017316017316018,0.6017316017316018,0.5871135200874291,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,DTmodel,MinMax,gaussian_noise,noIMB
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/DTmodel,True,0.1,0.5,2026-01-30 17:11:22,1769764270122_202fd60e,1769764270122_202fd60e17697642822459604,0.5974025974025974,0.5598368933527289,0.5622222222222222,0.5596391056996466,0.6006758767516372,0.5974025974025974,0.5977948651573524,0.5974025974025974,0.5974025974025974,0.5974025974025974,0.5848496338222476,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,DTmodel,MinMax,gaussian_noise,noIMB
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/DTmodel,True,0.2,0.35,2026-01-30 17:11:23,1769764270122_202fd60e,1769764270122_202fd60e17697642835519816,0.5692640692640693,0.5388228893674558,0.5405555555555556,0.5383067823223241,0.5809195370876988,0.5692640692640693,0.5738196469750068,0.5692640692640693,0.5692640692640693,0.5692640692640693,0.5605543903012983,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,DTmodel,MinMax,gaussian_noise,noIMB
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/DTmodel,True,0.2,0.5,2026-01-30 17:11:24,1769764270122_202fd60e,1769764270122_202fd60e17697642847328513,0.5995670995670995,0.5461456039742788,0.5425925925925926,0.5422299174569591,0.5852996770994405,0.5995670995670995,0.5905617317174535,0.5995670995670995,0.5995670995670995,0.5995670995670995,0.5771493745696329,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,DTmodel,MinMax,gaussian_noise,noIMB
