Metric,Mean,Std
Accuracy,0.6837599900099899,0.0902521594812677
Macro_Precision,0.6958156241354458,0.06573372289402371
Macro_Recall,0.6942394745172523,0.0795470072387372
Macro_F1,0.6633051197604375,0.09673364835480128
Weighted_Precision,0.7372094206553033,0.06715743632562379
Weighted_Recall,0.6837599900099899,0.0902521594812677
Weighted_F1,0.6785840318866149,0.10627520511094667
Micro_Precision,0.6837599900099899,0.0902521594812677
Micro_Recall,0.6837599900099899,0.0902521594812677
Micro_F1,0.6837599900099899,0.09025215948126769
Integrated_Score,0.6875138206818538,0.08332568677565463
