Model_A,Model_B,p_value
DTmodel,GradientBoosting,0.03125
DTmodel,LogisticRegression,0.03125
DTmodel,XGBmodel,0.03125
DTmodel,random_forest,0.03125
DTmodel,sklearn_SVM,0.03125
GradientBoosting,LogisticRegression,0.03125
GradientBoosting,XGBmodel,0.5625
GradientBoosting,random_forest,0.0625
GradientBoosting,sklearn_SVM,0.03125
LogisticRegression,XGBmodel,0.03125
LogisticRegression,random_forest,0.03125
LogisticRegression,sklearn_SVM,1.0
XGBmodel,random_forest,0.0625
XGBmodel,sklearn_SVM,0.03125
random_forest,sklearn_SVM,0.03125
