Metric,Mean,Std
Accuracy,0.6964035964035964,0.0997375848884261
Macro_Precision,0.7146000666081928,0.06024882613253716
Macro_Recall,0.7122883428300095,0.07817721722326673
Macro_F1,0.6754044598787402,0.1106332095403787
Weighted_Precision,0.7559711641939028,0.06290959031160835
Weighted_Recall,0.6964035964035964,0.0997375848884261
Weighted_F1,0.6875640311243457,0.1252640477393624
Micro_Precision,0.6964035964035964,0.0997375848884261
Micro_Recall,0.6964035964035964,0.0997375848884261
Micro_F1,0.6964035964035964,0.0997375848884261
Integrated_Score,0.7012926695751118,0.09071328903284391
