Metric,Mean,Std
Accuracy,0.644211112961113,0.10132771267449442
Macro_Precision,0.6759610433776445,0.06962603347675693
Macro_Recall,0.6756137350625198,0.08026478935745099
Macro_F1,0.6314449821824615,0.10727956173761488
Weighted_Precision,0.7250645176553298,0.07188325247821309
Weighted_Recall,0.644211112961113,0.10132771267449442
Weighted_F1,0.6385164014258176,0.12242556664909653
Micro_Precision,0.644211112961113,0.10132771267449442
Micro_Recall,0.644211112961113,0.10132771267449442
Micro_F1,0.644211112961113,0.10132771267449442
Integrated_Score,0.6558425823352363,0.09205315472818759
