Metric,Mean,Std
Accuracy,0.7032386016761016,0.0705659793499017
Macro_Precision,0.6911303056338213,0.07079632013009618
Macro_Recall,0.6874128853078507,0.07304526193733724
Macro_F1,0.6767447915156615,0.07457616252167
Weighted_Precision,0.7224476730563545,0.06497703116809933
Weighted_Recall,0.7032386016761016,0.0705659793499017
Weighted_F1,0.7015272506757662,0.07148479350321808
Micro_Precision,0.7032386016761016,0.0705659793499017
Micro_Recall,0.7032386016761016,0.0705659793499017
Micro_F1,0.7032386016761016,0.07056597934990169
Integrated_Score,0.6981353333989573,0.06917012776549177
