Metric,Mean,Std
Accuracy,0.6867778055278055,0.07981895275046917
Macro_Precision,0.7136546077773097,0.04024004415691327
Macro_Recall,0.7066766579613802,0.05217189734258443
Macro_F1,0.6707180333207687,0.08052205150211489
Weighted_Precision,0.757759090913828,0.038431141322846765
Weighted_Recall,0.6867778055278055,0.07981895275046917
Weighted_F1,0.6820925003724437,0.09481272814111277
Micro_Precision,0.6867778055278055,0.07981895275046917
Micro_Recall,0.6867778055278055,0.07981895275046917
Micro_F1,0.6867778055278055,0.07981895275046916
Integrated_Score,0.6954417379303558,0.0654781353708118
