Metric,Mean,Std
Accuracy,0.6996083777333777,0.09756706559146533
Macro_Precision,0.7127748490044441,0.07595935578653862
Macro_Recall,0.7105361269389047,0.08375904228927478
Macro_F1,0.6819626955648891,0.10049050069841016
Weighted_Precision,0.7522024181045057,0.07238913223080957
Weighted_Recall,0.6996083777333777,0.09756706559146533
Weighted_F1,0.6961884358703637,0.10888520247537109
Micro_Precision,0.6996083777333777,0.09756706559146533
Micro_Recall,0.6996083777333777,0.09756706559146533
Micro_F1,0.6996083777333777,0.09756706559146533
Integrated_Score,0.7041173602134243,0.0897183387080398
