Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.36339629449898453,0.05809386356857268,1
Model_DTmodel,0.19083777809717026,0.11308787940629636,2
Prob_Threshold,0.07049064403863693,0.05090432203545024,3
ImblName_TomekLinks,0.050285934192996894,0.04110460468508835,4
Model_random_forest,0.03996418444735279,0.01358921824902366,5
ImblName_noImbl,0.03713208376150808,0.026958779615735833,6
FeatureNum,0.035818095280412764,0.0055465882336780846,7
Model_sklearn_SVM,0.028587794375805744,0.018223795886910435,8
Model_LogisticRegression,0.02183989062056585,0.015012924227119657,9
Model_GradientBoosting,0.01714115073759431,0.019137695276044364,10
