Part_Label,Random_State:126.0,Split_Ratio:0.1,Random_State:7.0,Random_State:42.0,Scaler:standard,Model:random_forest,FeatureNum:5.0,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,ImblName:ADASYN
Random_State:126.0,,0.9997587549897412,,,0.9999173386183912,0.9956676422892489,0.9993583663265998,0.9992323071864638,0.9994322214451269,0.9792064695678757
Split_Ratio:0.1,0.9997587549897412,,0.9997348458456365,0.9991509435518839,0.9999159496904606,0.9943163463623884,0.9998614884214448,0.9998489320634759,0.9999308822700808,0.9758862507226522
Random_State:7.0,,0.9997348458456365,,,0.9998516063047432,0.9959995845247561,0.999422114553017,0.9992066978727495,0.9994139901199124,0.9801116544442603
Random_State:42.0,,0.9991509435518839,,,0.9988055528189519,0.9947815123555795,0.9996339204456748,0.99938080425542,0.9993251144605798,0.976956489379394
Scaler:standard,0.9999173386183912,0.9999159496904606,0.9998516063047432,0.9988055528189519,,0.995051251154654,0.9996028725516262,0.9995855422355003,0.9997160650826349,0.9773351476527984
Model:random_forest,0.9956676422892489,0.9943163463623884,0.9959995845247561,0.9947815123555795,0.995051251154654,,0.9940544909319561,0.993024227564572,0.9934168283463835,0.9928818037323986
FeatureNum:5.0,0.9993583663265998,0.9998614884214448,0.999422114553017,0.9996339204456748,0.9996028725516262,0.9940544909319561,,0.9999192362471528,0.9999364616283677,0.9754012385323909
FS_Method:biMaxInfgain,0.9992323071864638,0.9998489320634759,0.9992066978727495,0.99938080425542,0.9995855422355003,0.993024227564572,0.9999192362471528,,,0.9730337738243852
FS_Method:biMeanInfgain,0.9994322214451269,0.9999308822700808,0.9994139901199124,0.9993251144605798,0.9997160650826349,0.9934168283463835,0.9999364616283677,,,0.9739449818708042
ImblName:ADASYN,0.9792064695678757,0.9758862507226522,0.9801116544442603,0.976956489379394,0.9773351476527984,0.9928818037323986,0.9754012385323909,0.9730337738243852,0.9739449818708042,
