PipelinePart,PartValue,Metric,Value
FeatureNum,4.0,Accuracy,0.6743508998717332
FeatureNum,5.0,Accuracy,0.6754179944284111
FeatureNum,6.0,Accuracy,0.6748504389129389
FeatureNum,7.0,Accuracy,0.6710961299502967
FeatureNum,8.0,Accuracy,0.6702955898268398
FeatureNum,4.0,Macro_Precision,0.6831535840179962
FeatureNum,5.0,Macro_Precision,0.6867325774639608
FeatureNum,6.0,Macro_Precision,0.6843887152829454
FeatureNum,7.0,Macro_Precision,0.68211809752383
FeatureNum,8.0,Macro_Precision,0.6810028215133291
FeatureNum,4.0,Macro_Recall,0.6822213327331961
FeatureNum,5.0,Macro_Recall,0.6865439850537266
FeatureNum,6.0,Macro_Recall,0.6824822423696845
FeatureNum,7.0,Macro_Recall,0.6806294545896204
FeatureNum,8.0,Macro_Recall,0.6793292073902606
FeatureNum,4.0,Macro_F1,0.6558881331451524
FeatureNum,5.0,Macro_F1,0.6578852974824039
FeatureNum,6.0,Macro_F1,0.6553959217514952
FeatureNum,7.0,Macro_F1,0.6520873776441938
FeatureNum,8.0,Macro_F1,0.6513132249590343
FeatureNum,4.0,Weighted_Precision,0.7236511124264497
FeatureNum,5.0,Weighted_Precision,0.7279213703953005
FeatureNum,6.0,Weighted_Precision,0.7245947209995637
FeatureNum,7.0,Weighted_Precision,0.7232067025891924
FeatureNum,8.0,Weighted_Precision,0.7220936646324461
FeatureNum,4.0,Weighted_Recall,0.6743508998717332
FeatureNum,5.0,Weighted_Recall,0.6754179944284111
FeatureNum,6.0,Weighted_Recall,0.6748504389129389
FeatureNum,7.0,Weighted_Recall,0.6710961299502967
FeatureNum,8.0,Weighted_Recall,0.6702955898268398
FeatureNum,4.0,Weighted_F1,0.672197660877747
FeatureNum,5.0,Weighted_F1,0.6726775967889709
FeatureNum,6.0,Weighted_F1,0.6714941118938592
FeatureNum,7.0,Weighted_F1,0.6675541963301852
FeatureNum,8.0,Weighted_F1,0.6670161449289598
FeatureNum,4.0,Micro_Precision,0.6743508998717332
FeatureNum,5.0,Micro_Precision,0.6754179944284111
FeatureNum,6.0,Micro_Precision,0.6748504389129389
FeatureNum,7.0,Micro_Precision,0.6710961299502967
FeatureNum,8.0,Micro_Precision,0.6702955898268398
FeatureNum,4.0,Micro_Recall,0.6743508998717332
FeatureNum,5.0,Micro_Recall,0.6754179944284111
FeatureNum,6.0,Micro_Recall,0.6748504389129389
FeatureNum,7.0,Micro_Recall,0.6710961299502967
FeatureNum,8.0,Micro_Recall,0.6702955898268398
FeatureNum,4.0,Micro_F1,0.6743508998717332
FeatureNum,5.0,Micro_F1,0.6754179944284111
FeatureNum,6.0,Micro_F1,0.6748504389129389
FeatureNum,7.0,Micro_F1,0.6710961299502967
FeatureNum,8.0,Micro_F1,0.6702955898268398
FeatureNum,4.0,Integrated_Score,0.6778558319698923
