PipelinePart,PartValue,Metric,Value
FeatureNum,4.0,Accuracy,0.08569177807504073
FeatureNum,5.0,Accuracy,0.09159990306533627
FeatureNum,6.0,Accuracy,0.09041886509175377
FeatureNum,7.0,Accuracy,0.09090950216265696
FeatureNum,8.0,Accuracy,0.09011423090232915
FeatureNum,4.0,Macro_Precision,0.06727437964508252
FeatureNum,5.0,Macro_Precision,0.07012212504994676
FeatureNum,6.0,Macro_Precision,0.06942718195532459
FeatureNum,7.0,Macro_Precision,0.06972377158819962
FeatureNum,8.0,Macro_Precision,0.06931720037256128
FeatureNum,4.0,Macro_Recall,0.07292788285240547
FeatureNum,5.0,Macro_Recall,0.07672935172358542
FeatureNum,6.0,Macro_Recall,0.07597235522512114
FeatureNum,7.0,Macro_Recall,0.07615708718822747
FeatureNum,8.0,Macro_Recall,0.07583898625446343
FeatureNum,4.0,Macro_F1,0.0870131635650248
FeatureNum,5.0,Macro_F1,0.09392944799850758
FeatureNum,6.0,Macro_F1,0.09271301458405931
FeatureNum,7.0,Macro_F1,0.09376738720064516
FeatureNum,8.0,Macro_F1,0.09259447715090961
FeatureNum,4.0,Weighted_Precision,0.0646497626553638
FeatureNum,5.0,Weighted_Precision,0.06817181993050822
FeatureNum,6.0,Weighted_Precision,0.06717801779128581
FeatureNum,7.0,Weighted_Precision,0.06852178902680478
FeatureNum,8.0,Weighted_Precision,0.06777685484131786
FeatureNum,4.0,Weighted_Recall,0.08569177807504073
FeatureNum,5.0,Weighted_Recall,0.09159990306533627
FeatureNum,6.0,Weighted_Recall,0.09041886509175377
FeatureNum,7.0,Weighted_Recall,0.09090950216265696
FeatureNum,8.0,Weighted_Recall,0.09011423090232915
FeatureNum,4.0,Weighted_F1,0.09488773035494319
FeatureNum,5.0,Weighted_F1,0.10349203889138281
FeatureNum,6.0,Weighted_F1,0.10188917403397932
FeatureNum,7.0,Weighted_F1,0.10361755863574816
FeatureNum,8.0,Weighted_F1,0.10216876090171538
FeatureNum,4.0,Micro_Precision,0.08569177807504073
FeatureNum,5.0,Micro_Precision,0.09159990306533627
FeatureNum,6.0,Micro_Precision,0.09041886509175377
FeatureNum,7.0,Micro_Precision,0.09090950216265696
FeatureNum,8.0,Micro_Precision,0.09011423090232915
FeatureNum,4.0,Micro_Recall,0.08569177807504073
FeatureNum,5.0,Micro_Recall,0.09159990306533627
FeatureNum,6.0,Micro_Recall,0.09041886509175377
FeatureNum,7.0,Micro_Recall,0.09090950216265696
FeatureNum,8.0,Micro_Recall,0.09011423090232915
FeatureNum,4.0,Micro_F1,0.08569177807504073
FeatureNum,5.0,Micro_F1,0.09159990306533626
FeatureNum,6.0,Micro_F1,0.09041886509175374
FeatureNum,7.0,Micro_F1,0.09090950216265696
FeatureNum,8.0,Micro_F1,0.09011423090232913
FeatureNum,4.0,Integrated_Score,0.0779650730034117
FeatureNum,5.0,Integrated_Score,0.08369914419927758
FeatureNum,6.0,Integrated_Score,0.08241012687705772
FeatureNum,7.0,Integrated_Score,0.08297125362340149
FeatureNum,8.0,Integrated_Score,0.08213716274324152
FS_Method,biMaxInfgain,Accuracy,0.091587344812791
FS_Method,biMeanInfgain,Accuracy,0.09161818735042634
FS_Method,infgain,Accuracy,0.0857685712677435
FS_Method,noSelect,Accuracy,0.09011423090232915
FS_Method,biMaxInfgain,Macro_Precision,0.07058087450749048
FS_Method,biMeanInfgain,Macro_Precision,0.06970602275273612
FS_Method,infgain,Macro_Precision,0.06715053214216767
FS_Method,noSelect,Macro_Precision,0.06931720037256128
FS_Method,biMaxInfgain,Macro_Recall,0.07695057299286523
FS_Method,biMeanInfgain,Macro_Recall,0.0770638225940344
FS_Method,infgain,Macro_Recall,0.07231293806793765
FS_Method,noSelect,Macro_Recall,0.07583898625446343
FS_Method,biMaxInfgain,Macro_F1,0.09427126641367509
FS_Method,biMeanInfgain,Macro_F1,0.09431078545959375
FS_Method,infgain,Macro_F1,0.08699040226431845
FS_Method,noSelect,Macro_F1,0.09259447715090961
FS_Method,biMaxInfgain,Weighted_Precision,0.0690100291147988
FS_Method,biMeanInfgain,Weighted_Precision,0.06769702051929934
FS_Method,infgain,Weighted_Precision,0.06469328567530436
FS_Method,noSelect,Weighted_Precision,0.06777685484131786
FS_Method,biMaxInfgain,Weighted_Recall,0.091587344812791
FS_Method,biMeanInfgain,Weighted_Recall,0.09161818735042634
FS_Method,infgain,Weighted_Recall,0.0857685712677435
FS_Method,noSelect,Weighted_Recall,0.09011423090232915
FS_Method,biMaxInfgain,Weighted_F1,0.10383004506068143
FS_Method,biMeanInfgain,Weighted_F1,0.10380627643952453
FS_Method,infgain,Weighted_F1,0.09528527252021356
FS_Method,noSelect,Weighted_F1,0.10216876090171538
FS_Method,biMaxInfgain,Micro_Precision,0.091587344812791
FS_Method,biMeanInfgain,Micro_Precision,0.09161818735042634
FS_Method,infgain,Micro_Precision,0.0857685712677435
FS_Method,noSelect,Micro_Precision,0.09011423090232915
FS_Method,biMaxInfgain,Micro_Recall,0.091587344812791
FS_Method,biMeanInfgain,Micro_Recall,0.09161818735042634
FS_Method,infgain,Micro_Recall,0.0857685712677435
FS_Method,noSelect,Micro_Recall,0.09011423090232915
FS_Method,biMaxInfgain,Micro_F1,0.091587344812791
FS_Method,biMeanInfgain,Micro_F1,0.09161818735042633
FS_Method,infgain,Micro_F1,0.08576857126774348
FS_Method,noSelect,Micro_F1,0.09011423090232913
FS_Method,biMaxInfgain,Integrated_Score,0.08386492177163615
FS_Method,biMeanInfgain,Integrated_Score,0.08363758291495267
FS_Method,infgain,Integrated_Score,0.07778189139765652
FS_Method,noSelect,Integrated_Score,0.08213716274324152
Scaler,minmax,Accuracy,0.08587652132893268
Scaler,standard,Accuracy,0.09338107107127726
Scaler,minmax,Macro_Precision,0.06875815346171599
Scaler,standard,Macro_Precision,0.06930116764860797
Scaler,minmax,Macro_Recall,0.07387850035529163
Scaler,standard,Macro_Recall,0.07693107670978915
Scaler,minmax,Macro_F1,0.08700716041427631
Scaler,standard,Macro_F1,0.0966425153792317
Scaler,minmax,Weighted_Precision,0.0669911036958918
Scaler,standard,Weighted_Precision,0.06712245546407682
Scaler,minmax,Weighted_Recall,0.08587652132893268
Scaler,standard,Weighted_Recall,0.09338107107127726
Scaler,minmax,Weighted_F1,0.09466629784957385
Scaler,standard,Weighted_F1,0.10721592929812278
Scaler,minmax,Micro_Precision,0.08587652132893268
Scaler,standard,Micro_Precision,0.09338107107127726
Scaler,minmax,Micro_Recall,0.08587652132893268
Scaler,standard,Micro_Recall,0.09338107107127726
Scaler,minmax,Micro_F1,0.08587652132893268
Scaler,standard,Micro_F1,0.09338107107127724
Scaler,minmax,Integrated_Score,0.07860261299199742
Scaler,standard,Integrated_Score,0.08486273921867828
AugName,gaussian_noise,Accuracy,0.10777155028560782
AugName,mixup,Accuracy,0.05150896311993784
AugName,noAug,Accuracy,0.05423837137416587
AugName,gaussian_noise,Macro_Precision,0.08419452153158279
AugName,mixup,Macro_Precision,0.049137881969516864
AugName,noAug,Macro_Precision,0.0482450386588741
AugName,gaussian_noise,Macro_Recall,0.07943779634890931
AugName,mixup,Macro_Recall,0.05211551199071098
AugName,noAug,Macro_Recall,0.05145123437046146
AugName,gaussian_noise,Macro_F1,0.10625688509388408
AugName,mixup,Macro_F1,0.0513679456996498
AugName,noAug,Macro_F1,0.05302740181013584
AugName,gaussian_noise,Weighted_Precision,0.08223477836231219
AugName,mixup,Weighted_Precision,0.04868117599016314
AugName,noAug,Weighted_Precision,0.048107506198438
AugName,gaussian_noise,Weighted_Recall,0.10777155028560782
AugName,mixup,Weighted_Recall,0.05150896311993784
AugName,noAug,Weighted_Recall,0.054238371374165865
AugName,gaussian_noise,Weighted_F1,0.12505238936418647
AugName,mixup,Weighted_F1,0.050913576638974244
AugName,noAug,Weighted_F1,0.05426761252475233
AugName,gaussian_noise,Micro_Precision,0.10777155028560782
AugName,mixup,Micro_Precision,0.05150896311993784
AugName,noAug,Micro_Precision,0.05423837137416587
AugName,gaussian_noise,Micro_Recall,0.10777155028560782
AugName,mixup,Micro_Recall,0.05150896311993784
AugName,noAug,Micro_Recall,0.05423837137416587
AugName,gaussian_noise,Micro_F1,0.10777155028560782
AugName,mixup,Micro_F1,0.05150896311993783
AugName,noAug,Micro_F1,0.054238371374165865
AugName,gaussian_noise,Integrated_Score,0.0946606642003109
AugName,mixup,Integrated_Score,0.04888848143006663
