Cluster,Part
1,AugName:gaussian_noise
4,AugName:mixup
4,AugName:noAug
4,Model:sklearn_SVM
7,FS_Method:biMaxInfgain
7,FS_Method:biMeanInfgain
7,FS_Method:infgain
7,FS_Method:noSelect
7,FeatureNum:4.0
7,FeatureNum:5.0
7,FeatureNum:6.0
7,FeatureNum:7.0
7,FeatureNum:8.0
7,Model:GradientBoosting
7,Scaler:minmax
7,Scaler:standard
10,ImblName:ADASYN
9,ImblName:RandomUnderSampler
9,ImblName:SMOTE
9,Prob_Threshold:0.35
3,ImblName:TomekLinks
3,ImblName:noImbl
3,Prob_Threshold:0.5
2,Model:DTmodel
5,Model:LogisticRegression
6,Model:XGBmodel
6,Norm_Order:first
6,Split_Ratio:0.1
8,Model:random_forest
8,Norm_Order:last
8,Split_Ratio:0.2
