PipelinePart,PartValue,Metric,Value
FeatureNum,4.0,Accuracy,0.695758177008177
FeatureNum,5.0,Accuracy,0.6997519841269841
FeatureNum,6.0,Accuracy,0.7024380711880712
FeatureNum,7.0,Accuracy,0.6997098965848966
FeatureNum,8.0,Accuracy,0.7019345238095238
FeatureNum,4.0,Macro_Precision,0.7079219920898207
FeatureNum,5.0,Macro_Precision,0.715478037778274
FeatureNum,6.0,Macro_Precision,0.7145231452115044
FeatureNum,7.0,Macro_Precision,0.7124671745599699
FeatureNum,8.0,Macro_Precision,0.7149019881390664
FeatureNum,4.0,Macro_Recall,0.7058241598079561
FeatureNum,5.0,Macro_Recall,0.7144364283264746
FeatureNum,6.0,Macro_Recall,0.7118767146776406
FeatureNum,7.0,Macro_Recall,0.7097888374485596
FeatureNum,8.0,Macro_Recall,0.7111912294238683
FeatureNum,4.0,Macro_F1,0.6783495980782229
FeatureNum,5.0,Macro_F1,0.6833356478289624
FeatureNum,6.0,Macro_F1,0.6844001993541831
FeatureNum,7.0,Macro_F1,0.6813130580367449
FeatureNum,8.0,Macro_F1,0.6833195324492183
FeatureNum,4.0,Weighted_Precision,0.7474091712506729
FeatureNum,5.0,Weighted_Precision,0.7561010776620538
FeatureNum,6.0,Weighted_Precision,0.7532799256472125
FeatureNum,7.0,Weighted_Precision,0.751628844787662
FeatureNum,8.0,Weighted_Precision,0.7533743773157721
FeatureNum,4.0,Weighted_Recall,0.695758177008177
FeatureNum,5.0,Weighted_Recall,0.6997519841269841
FeatureNum,6.0,Weighted_Recall,0.7024380711880712
FeatureNum,7.0,Weighted_Recall,0.6997098965848966
FeatureNum,8.0,Weighted_Recall,0.7019345238095238
FeatureNum,4.0,Weighted_F1,0.6932318028904711
FeatureNum,5.0,Weighted_F1,0.6962005178626635
FeatureNum,6.0,Weighted_F1,0.6990480609724363
FeatureNum,7.0,Weighted_F1,0.6957062591986258
FeatureNum,8.0,Weighted_F1,0.6978897435421366
FeatureNum,4.0,Micro_Precision,0.695758177008177
FeatureNum,5.0,Micro_Precision,0.6997519841269841
FeatureNum,6.0,Micro_Precision,0.7024380711880712
FeatureNum,7.0,Micro_Precision,0.6997098965848966
FeatureNum,8.0,Micro_Precision,0.7019345238095238
FeatureNum,4.0,Micro_Recall,0.695758177008177
FeatureNum,5.0,Micro_Recall,0.6997519841269841
FeatureNum,6.0,Micro_Recall,0.7024380711880712
FeatureNum,7.0,Micro_Recall,0.6997098965848966
FeatureNum,8.0,Micro_Recall,0.7019345238095238
FeatureNum,4.0,Micro_F1,0.695758177008177
FeatureNum,5.0,Micro_F1,0.6997519841269841
FeatureNum,6.0,Micro_F1,0.7024380711880711
FeatureNum,7.0,Micro_F1,0.6997098965848966
FeatureNum,8.0,Micro_F1,0.7019345238095238
FeatureNum,4.0,Integrated_Score,0.7001560132634197
FeatureNum,5.0,Integrated_Score,0.7054327728812176
FeatureNum,6.0,Integrated_Score,0.706460446077857
FeatureNum,7.0,Integrated_Score,0.7038253418988832
FeatureNum,8.0,Integrated_Score,0.7059019604103832
FS_Method,biMaxInfgain,Accuracy,0.7003584956709956
FS_Method,biMeanInfgain,Accuracy,0.699774531024531
FS_Method,infgain,Accuracy,0.69811056998557
FS_Method,noSelect,Accuracy,0.7019345238095238
FS_Method,biMaxInfgain,Macro_Precision,0.7133545696467647
FS_Method,biMeanInfgain,Macro_Precision,0.7139542747482522
FS_Method,infgain,Macro_Precision,0.7104839178346598
FS_Method,noSelect,Macro_Precision,0.7149019881390664
FS_Method,biMaxInfgain,Macro_Recall,0.7120984439300412
FS_Method,biMeanInfgain,Macro_Recall,0.7118247813786008
FS_Method,infgain,Macro_Recall,0.7075213798868313
FS_Method,noSelect,Macro_Recall,0.7111912294238683
FS_Method,biMaxInfgain,Macro_F1,0.6829377257739191
FS_Method,biMeanInfgain,Macro_F1,0.6822792967212427
FS_Method,infgain,Macro_F1,0.6803318549784232
FS_Method,noSelect,Macro_F1,0.6833195324492183
FS_Method,biMaxInfgain,Weighted_Precision,0.7530334903916452
FS_Method,biMeanInfgain,Weighted_Precision,0.7538052381214295
FS_Method,infgain,Weighted_Precision,0.7494755359976261
FS_Method,noSelect,Weighted_Precision,0.7533743773157721
FS_Method,biMaxInfgain,Weighted_Recall,0.7003584956709956
FS_Method,biMeanInfgain,Weighted_Recall,0.699774531024531
FS_Method,infgain,Weighted_Recall,0.69811056998557
FS_Method,noSelect,Weighted_Recall,0.7019345238095238
FS_Method,biMaxInfgain,Weighted_F1,0.696856367419696
FS_Method,biMeanInfgain,Weighted_F1,0.6960574768795613
FS_Method,infgain,Weighted_F1,0.6952261363938904
FS_Method,noSelect,Weighted_F1,0.6978897435421366
FS_Method,biMaxInfgain,Micro_Precision,0.7003584956709956
FS_Method,biMeanInfgain,Micro_Precision,0.699774531024531
FS_Method,infgain,Micro_Precision,0.69811056998557
FS_Method,noSelect,Micro_Precision,0.7019345238095238
FS_Method,biMaxInfgain,Micro_Recall,0.7003584956709956
FS_Method,biMeanInfgain,Micro_Recall,0.699774531024531
FS_Method,infgain,Micro_Recall,0.69811056998557
FS_Method,noSelect,Micro_Recall,0.7019345238095238
FS_Method,biMaxInfgain,Micro_F1,0.7003584956709956
FS_Method,biMeanInfgain,Micro_F1,0.699774531024531
FS_Method,infgain,Micro_F1,0.69811056998557
FS_Method,noSelect,Micro_F1,0.7019345238095238
FS_Method,biMaxInfgain,Integrated_Score,0.7049611626442854
FS_Method,biMeanInfgain,Integrated_Score,0.704618757874761
FS_Method,infgain,Integrated_Score,0.7023260100719866
FS_Method,noSelect,Integrated_Score,0.7059019604103832
Scaler,minmax,Accuracy,0.7002351814851815
Scaler,standard,Accuracy,0.698981573981574
Scaler,minmax,Macro_Precision,0.7089035359777349
Scaler,standard,Macro_Precision,0.7166461620311533
Scaler,minmax,Macro_Recall,0.7068157051282051
Scaler,standard,Macro_Recall,0.7142565487496043
Scaler,minmax,Macro_F1,0.6816461587949717
Scaler,standard,Macro_F1,0.6822792323348065
Scaler,minmax,Weighted_Precision,0.747259496636636
Scaler,standard,Weighted_Precision,0.7571453395723755
Scaler,minmax,Weighted_Recall,0.7002351814851815
Scaler,standard,Weighted_Recall,0.698981573981574
Scaler,minmax,Weighted_F1,0.6976501760905218
Scaler,standard,Weighted_F1,0.6947266956502055
Scaler,minmax,Micro_Precision,0.7002351814851815
Scaler,standard,Micro_Precision,0.698981573981574
Scaler,minmax,Micro_Recall,0.7002351814851815
Scaler,standard,Micro_Recall,0.698981573981574
Scaler,minmax,Micro_F1,0.7002351814851815
Scaler,standard,Micro_F1,0.698981573981574
Scaler,minmax,Integrated_Score,0.7032863966011541
Scaler,standard,Integrated_Score,0.7049483238256945
AugName,gaussian_noise,Accuracy,0.6259032634032634
AugName,mixup,Accuracy,0.7407113719613719
AugName,noAug,Accuracy,0.7322104978354977
AugName,gaussian_noise,Macro_Precision,0.6655682760776311
AugName,mixup,Macro_Precision,0.7371908651300847
AugName,noAug,Macro_Precision,0.7355654058056166
AugName,gaussian_noise,Macro_Recall,0.6412349833808167
AugName,mixup,Macro_Recall,0.7449992283950617
AugName,noAug,Macro_Recall,0.7453741690408356
AugName,gaussian_noise,Macro_F1,0.5992656375930416
AugName,mixup,Macro_F1,0.7260785930119841
AugName,noAug,Macro_F1,0.7205438560896416
AugName,gaussian_noise,Weighted_Precision,0.7074275102878465
AugName,mixup,Weighted_Precision,0.773371785476621
AugName,noAug,Weighted_Precision,0.7758079585490498
AugName,gaussian_noise,Weighted_Recall,0.6259032634032634
AugName,mixup,Weighted_Recall,0.7407113719613719
AugName,noAug,Weighted_Recall,0.7322104978354977
AugName,gaussian_noise,Weighted_F1,0.6111586168221294
AugName,mixup,Weighted_F1,0.7426973623681685
AugName,noAug,Weighted_F1,0.734709328420793
AugName,gaussian_noise,Micro_Precision,0.6259032634032634
AugName,mixup,Micro_Precision,0.7407113719613719
AugName,noAug,Micro_Precision,0.7322104978354977
AugName,gaussian_noise,Micro_Recall,0.6259032634032634
AugName,mixup,Micro_Recall,0.7407113719613719
AugName,noAug,Micro_Recall,0.7322104978354977
AugName,gaussian_noise,Micro_F1,0.6259032634032634
AugName,mixup,Micro_F1,0.7407113719613719
AugName,noAug,Micro_F1,0.7322104978354977
AugName,gaussian_noise,Integrated_Score,0.6333480204982103
AugName,mixup,Integrated_Score,0.7421571299917482
AugName,noAug,Integrated_Score,0.7368469301503143
ImblName,ADASYN,Accuracy,0.6600725663225663
ImblName,RandomUnderSampler,Accuracy,0.6785939754689755
ImblName,SMOTE,Accuracy,0.6800022893772895
ImblName,TomekLinks,Accuracy,0.7385583166833167
