Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.8906,log/pimaindians_diabetes/5/biMeanInfgain/minmax__gaussian_noise__noImbl/sklearn_SVM,0.1,0.5,126
1,M_R,0.8930,log/pimaindians_diabetes/6/biMaxInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
1,M_F1,0.8764,log/pimaindians_diabetes/6/biMaxInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
1,m_P,0.8831,log/pimaindians_diabetes/6/biMeanInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
1,m_R,0.8831,log/pimaindians_diabetes/6/biMeanInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
1,m_F1,0.8831,log/pimaindians_diabetes/6/biMeanInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
1,W_P,0.8944,log/pimaindians_diabetes/6/biMeanInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
1,W_R,0.8831,log/pimaindians_diabetes/4/biMeanInfgain/standard__mixup__noImbl/sklearn_SVM,0.1,0.35,126
1,W_F1,0.8850,log/pimaindians_diabetes/6/biMaxInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
1,Acc,0.8831,log/pimaindians_diabetes/6/biMeanInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
2,M_P,0.8846,log/pimaindians_diabetes/5/infgain/gaussian_noise__TomekLinks__standard/sklearn_SVM,0.1,0.5,126
2,M_R,0.8930,log/pimaindians_diabetes/6/biMeanInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
2,M_F1,0.8764,log/pimaindians_diabetes/6/biMeanInfgain/noAug__TomekLinks__standard/XGBmodel,0.1,0.35,126
2,m_P,0.8831,log/pimaindians_diabetes/4/biMeanInfgain/standard__mixup__noImbl/sklearn_SVM,0.1,0.35,126
2,m_R,0.8831,log/pimaindians_diabetes/4/biMeanInfgain/standard__mixup__noImbl/sklearn_SVM,0.1,0.35,126
