Part_Label,Split_Ratio:0.2,FS_Method:infgain,Scaler:standard,FeatureNum:4.0,Model:random_forest,ImblName:noImbl,Norm_Order:last,Model:LogisticRegression,ImblName:TomekLinks,FeatureNum:6.0
Split_Ratio:0.2,,0.9994554527472035,0.999352961511649,0.9997917994080642,0.983059097073568,0.7879896422476401,0.9968673398573583,0.9665621423909708,0.8562857882728765,0.9991092156872169
FS_Method:infgain,0.9994554527472035,,0.9990243990613714,0.9988690922207296,0.9822302612943856,0.7926954530698764,0.9967924809900546,0.9684381116365085,0.8576523949909268,0.9999040607416387
Scaler:standard,0.999352961511649,0.9990243990613714,,0.9992036154948838,0.9887666797667922,0.7675076240674112,0.9990667573818609,0.9750941007086926,0.837952288702763,0.9985742277646814
FeatureNum:4.0,0.9997917994080642,0.9988690922207296,0.9992036154948838,,0.9831919634412849,0.7829520747464199,0.9967778403979373,0.9666744656706371,0.8531526132210964,
Model:random_forest,0.983059097073568,0.9822302612943856,0.9887666797667922,0.9831919634412849,,0.6672263153151607,0.9939602898939149,,0.749049348777306,0.9813264891020936
ImblName:noImbl,0.7879896422476401,0.7926954530698764,0.7675076240674112,0.7829520747464199,0.6672263153151607,,0.7415948988630334,0.6265836756072976,,0.7967368023668367
Norm_Order:last,0.9968673398573583,0.9967924809900546,0.9990667573818609,0.9967778403979373,0.9939602898939149,0.7415948988630334,,0.9836571233411854,0.8144966738682701,0.9962250121876797
Model:LogisticRegression,0.9665621423909708,0.9684381116365085,0.9750941007086926,0.9666744656706371,,0.6265836756072976,0.9836571233411854,,0.7054474366892572,0.9674418899155971
ImblName:TomekLinks,0.8562857882728765,0.8576523949909268,0.837952288702763,0.8531526132210964,0.749049348777306,,0.8144966738682701,0.7054474366892572,,0.8602570732066087
FeatureNum:6.0,0.9991092156872169,0.9999040607416387,0.9985742277646814,,0.9813264891020936,0.7967368023668367,0.9962250121876797,0.9674418899155971,0.8602570732066087,
