Metric,Mean,Std
Accuracy,0.6784916472416471,0.06741146703547171
Macro_Precision,0.6644041884300381,0.06464024202433022
Macro_Recall,0.6557861467236468,0.06231998141251418
Macro_F1,0.646512967745136,0.06785325943302363
Weighted_Precision,0.6955231661361926,0.05710152394498721
Weighted_Recall,0.6784916472416471,0.06741146703547171
Weighted_F1,0.6747056155099392,0.06790923246774296
Micro_Precision,0.6784916472416471,0.06741146703547171
Micro_Recall,0.6784916472416471,0.06741146703547171
Micro_F1,0.6784916472416471,0.06741146703547171
Integrated_Score,0.6711507965139079,0.06337116578262245
