Metric,Mean,Std
Accuracy,0.6260642135642136,0.07811174101202627
Macro_Precision,0.6390312131115509,0.06071292130293784
Macro_Recall,0.6354792260208928,0.060987473182545826
Macro_F1,0.6059894010834682,0.07785765233275971
Weighted_Precision,0.6825514616249202,0.06082688313698514
Weighted_Recall,0.6260642135642136,0.07811174101202627
Weighted_F1,0.62256357105732,0.08959784218450373
Micro_Precision,0.6260642135642136,0.07811174101202627
Micro_Recall,0.6260642135642136,0.07811174101202627
Micro_F1,0.6260642135642136,0.07811174101202627
Integrated_Score,0.6304148213225398,0.0689969163864052
