Part_Label,AugName:gaussian_noise,Model:DTmodel,AugName:mixup,AugName:noAug,Model:sklearn_SVM,ImblName:ADASYN,Prob_Threshold:0.35,Split_Ratio:0.2,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:GradientBoosting,Model:XGBmodel,Split_Ratio:0.1,Model:LogisticRegression,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:random_forest,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:first,Norm_Order:last,Scaler:minmax,Scaler:standard
AugName:gaussian_noise,,0.5519583041747523,,,0.9607813290360828,0.9769877197316355,0.9792416288709632,0.9687282851124203,0.7186385200673227,0.6182884405981787,0.7662341600607261,0.9784327782167246,0.9768614313952196,0.9676515470352279,0.9866871991084866,0.9663195800105735,0.9714771605023562,0.9806236617563218,0.9708365048214933,0.9721817650017041,0.9603734372752708,0.965090326985398,0.9590143083747533,0.9708402606319442,0.9714655585403431,0.9712017692728566,0.965090326985398,0.9604950258842901,0.9745359834483598,0.9650492973522315,0.967062116158289
Model:DTmodel,0.5519583041747523,,0.8494663199814002,0.7878959059371085,,0.5009989563785238,0.5320280089467092,0.7122145804976534,0.9712465377508007,0.9640580291235986,0.9564303554947139,,,0.6915734853417979,,0.5808021569431926,0.5761874125474727,,0.686064551467451,0.6805531625597007,0.7377379714712096,0.7195429567844752,0.7370696149473831,0.6887604814979643,0.6898813664986784,0.6890105101332465,0.7195429567844752,0.7277283385990689,0.6784346325555219,0.6708461790637815,0.7327646671968908
AugName:mixup,,0.8494663199814002,,,0.9553730498749123,0.8560245201277649,0.8725071882486017,0.946343000265363,0.9043380350073833,0.7996171970665952,0.9387613488215721,0.9233344338273881,0.929465395997291,0.9458623468827517,0.8876345820989133,0.9064442776337304,0.9018033932608561,0.9134895595495254,0.9418372657262962,0.9394984842450167,0.9555099748976521,0.9509185152072416,0.9572907493795382,0.9422172841254506,0.9417177923600089,0.9418953476057547,0.9509185152072416,0.9560554713875032,0.9365359557696845,0.9428617992119961,0.945179459633287
AugName:noAug,,0.7878959059371085,,,0.9734636502545063,0.9055518264697275,0.9184987178983466,0.9674379580619853,0.8618508022997359,0.7431867703499895,0.9047138219720697,0.9546389491929409,0.9584165935239675,0.970113429264448,0.9281831730488991,0.946388950934031,0.942254269417156,0.9480016068544282,0.966934202791306,0.9654260876216593,0.9725421159628967,0.9708353386099104,0.9744500990006971,0.9669591681009079,0.9662296522149695,0.9665392804630383,0.9708353386099104,0.9747157697584429,0.9627705705639672,0.9704551725909554,0.9623298565814838
Model:sklearn_SVM,0.9607813290360828,,0.9553730498749123,0.9734636502545063,,0.9556854463416486,0.9656598327893454,0.9994599446697409,0.8483801539670498,0.7435079996131438,0.890482432461077,,,0.9979624341880475,,0.9759717834913727,0.9763269280673746,,0.9976930663237166,0.9971936215454837,0.9998795676268332,0.9997578343743108,0.999912840810695,0.9980009179330762,0.9981033598961223,0.9980151382172588,0.9997578343743108,0.999847533986236,0.9970779647004847,0.994736127332181,0.9983560096223523
ImblName:ADASYN,0.9769877197316355,0.5009989563785238,0.8560245201277649,0.9055518264697275,0.9556854463416486,,0.9992971689291075,0.9631640036192678,,,0.7179834834532122,0.9845902371175346,0.9805054643230388,0.9713334567481765,0.9949310485694567,,,0.9893858796801865,0.9730295072546611,0.9747297664974542,0.9528200751218071,0.9606825290086709,0.953510687198903,0.9721546110224688,0.9716161213595896,0.971958144137438,0.9606825290086709,0.9577586698243884,0.9750867648243661,0.9774989713331106,0.9513767310409769
Prob_Threshold:0.35,0.9792416288709632,0.5320280089467092,0.8725071882486017,0.9184987178983466,0.9656598327893454,0.9992971689291075,,0.9721309546637926,0.682514668786744,0.5499376100500073,,0.9898666205275636,0.986547597309136,0.9791034524532723,0.9977382510575967,0.9964626454448164,0.9978203584647738,0.9936510598100886,0.9805756280875737,0.9820196242234757,0.963066537101933,0.9699407932516978,0.9636731761836308,0.9798762010622305,0.9793771548437523,0.9796659363447585,0.9699407932516978,0.9673934140574042,0.9823243311821206,0.984394895719935,0.9613302957858874
Split_Ratio:0.2,0.9687282851124203,0.7122145804976534,0.946343000265363,0.9674379580619853,0.9994599446697409,0.9631640036192678,0.9721309546637926,,0.8347404258333904,0.7287113477046665,0.8781441520652719,0.994790926117374,0.9967002478575431,,0.9837044175298189,0.9799594883946294,0.9808257148858098,0.9915798157729719,0.9989716152414031,0.9986962030729785,0.9993040013298864,0.9998792544542837,0.9992587550380699,0.9991954701298501,0.9993353018454589,0.999244154194717,0.9998792544542837,0.9994864925517922,0.9987864884237255,0.9959779045612209,0.9985186060712301
ImblName:TomekLinks,0.7186385200673227,0.9712465377508007,0.9043380350073833,0.8618508022997359,0.8483801539670498,,0.682514668786744,0.8347404258333904,,,0.9957472643553256,0.777613062751448,0.7913450696700951,0.8155266571091858,0.7232562412243226,,,0.7586170149226726,0.8121525925272907,0.807866876727264,0.8539409318380274,0.8397589998553144,0.852540705096462,0.8143737879817782,0.8159814833887107,0.8150647743650007,0.8397589998553144,0.844677857747991,0.8072504423069965,0.7939759910323585,0.8555204375558615
ImblName:noImbl,0.6182884405981787,0.9640580291235986,0.7996171970665952,0.7431867703499895,0.7435079996131438,,0.5499376100500073,0.7287113477046665,,,0.9572693259644192,0.6593077227246733,0.6756840056242145,0.7018141349281852,0.6001619687034487,,,0.6373228544600328,0.6990423309457697,0.694146487582166,0.7512670268301197,0.7335214971416121,0.7484129955306047,0.7020026672216039,0.7045067083678973,0.7031239657969123,0.7335214971416121,0.7379301347047516,0.6947380533575869,0.6729298537248631,0.7584762509537533
