Metric,Mean,Std
Accuracy,0.6138059856809857,0.10574299198950995
Macro_Precision,0.6501938333947704,0.07722115525552462
Macro_Recall,0.6310108915004747,0.08143600974226231
Macro_F1,0.5865188636156318,0.10708592963193313
Weighted_Precision,0.6958457586877744,0.07843585621512272
Weighted_Recall,0.6138059856809857,0.10574299198950998
Weighted_F1,0.5987417799913713,0.12496470584688996
Micro_Precision,0.6138059856809857,0.10574299198950995
Micro_Recall,0.6138059856809857,0.10574299198950995
Micro_F1,0.6138059856809857,0.10574299198950998
Integrated_Score,0.6210165391717466,0.09276494660395093
