Metric,Mean,Std
Accuracy,0.6852300910894661,0.08895924121163624
Macro_Precision,0.6973939888656544,0.06618151879615383
Macro_Recall,0.6996228620113168,0.07903894277557653
Macro_F1,0.6682047035912052,0.09456212296446075
Weighted_Precision,0.7403370726457348,0.06740685711051693
Weighted_Recall,0.6852300910894661,0.08895924121163624
Weighted_F1,0.6822086077320157,0.10312309792927402
Micro_Precision,0.6852300910894661,0.08895924121163624
Micro_Recall,0.6852300910894661,0.08895924121163624
Micro_F1,0.6852300910894661,0.08895924121163623
Integrated_Score,0.69038942548654,0.08223737445851091
