Metric,Mean,Std
Accuracy,0.6871738215488216,0.0885543490064564
Macro_Precision,0.6991533289564869,0.0644376388838734
Macro_Recall,0.7008129072359396,0.07810083087019215
Macro_F1,0.6698517747005881,0.0942236598404938
Weighted_Precision,0.7417577969639516,0.06528283805901373
Weighted_Recall,0.6871738215488216,0.08855434900645641
Weighted_F1,0.6840350309523213,0.10290723739513526
Micro_Precision,0.6871738215488216,0.0885543490064564
Micro_Recall,0.6871738215488216,0.0885543490064564
Micro_F1,0.6871738215488216,0.0885543490064564
Integrated_Score,0.6921249527831027,0.0814162562163346
