Metric,Mean,Std
Accuracy,0.6816669441669442,0.09040800546859884
Macro_Precision,0.6950152773581765,0.06736045828748283
Macro_Recall,0.6962288600031655,0.08005706373218283
Macro_F1,0.6643732066493723,0.09576706700064674
Weighted_Precision,0.7380930466398027,0.0684886417761406
Weighted_Recall,0.6816669441669442,0.09040800546859884
Weighted_F1,0.6783244513152352,0.10466673874818748
Micro_Precision,0.6816669441669442,0.09040800546859884
Micro_Recall,0.6816669441669442,0.09040800546859884
Micro_F1,0.6816669441669442,0.09040800546859884
Integrated_Score,0.687005144761583,0.08346267749948715
