Metric,Mean,Std
Accuracy,0.7070072288822289,0.06812016269097607
Macro_Precision,0.6967093528190125,0.06483051672048215
Macro_Recall,0.6988710727287115,0.07439371885547987
Macro_F1,0.6838455303805304,0.07443725595557703
Weighted_Precision,0.7310533932261559,0.06355084282778502
Weighted_Recall,0.7070072288822289,0.06812016269097607
Weighted_F1,0.7062564721730539,0.07102591416639581
Micro_Precision,0.7070072288822289,0.06812016269097607
Micro_Recall,0.7070072288822289,0.06812016269097607
Micro_F1,0.7070072288822289,0.06812016269097605
Integrated_Score,0.703981573813317,0.06749451927630291
