Metric,Mean,Std
Accuracy,0.6862654706404707,0.08667404036796485
Macro_Precision,0.6972015837542049,0.06496467167655724
Macro_Recall,0.6989575765669515,0.07740590490058122
Macro_F1,0.6688189622089495,0.09189239795785684
Weighted_Precision,0.739563808462542,0.06593580564754785
Weighted_Recall,0.6862654706404707,0.08667404036796485
Weighted_F1,0.6834769275303764,0.0998604346829001
Micro_Precision,0.6862654706404707,0.08667404036796485
Micro_Recall,0.6862654706404707,0.08667404036796485
Micro_F1,0.6862654706404707,0.08667404036796483
Integrated_Score,0.6909228685954568,0.07997371616692125
