Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.30804772494206784,0.06401429088961615,1
Model_DTmodel,0.14933563683509615,0.07829840345212151,2
Prob_Threshold,0.0693894139097178,0.03664338122570785,3
FeatureNum,0.0590673693552121,0.01362344564446316,4
Split_Ratio,0.05778052522535849,0.015992788245949657,5
ImblName_TomekLinks,0.04844644638091642,0.030873050616782003,6
ImblName_noImbl,0.04095454845231507,0.022314557711874915,7
Model_random_forest,0.0390744634373889,0.01598857857071944,8
Model_sklearn_SVM,0.024791389931144547,0.010702480936588777,9
Model_LogisticRegression,0.02172981531969218,0.00864041176820871,10
