Part_Label,Model:sklearn_SVM,AugName:mixup,AugName:noAug,Model:LogisticRegression,ImblName:noImbl,ImblName:TomekLinks,Prob_Threshold:0.5,Scaler:standard,FeatureNum:5.0,Norm_Order:first
Model:sklearn_SVM,,0.9341433821655994,0.9531216175569182,,0.838189241016391,0.8857539902050455,0.917089350838518,0.9888906577769434,0.9854401175336436,0.9943674306353083
AugName:mixup,0.9341433821655994,,,0.8663508302408318,0.8612034200165374,0.923592777764093,0.9526444791236576,0.912958683172598,0.922349294829346,0.946639574806508
AugName:noAug,0.9531216175569182,,,0.9238275114852554,0.791427070546559,0.8666766597427712,0.9075730152162452,0.9534348349394799,0.9632005394519224,0.9736789864423554
Model:LogisticRegression,,0.8663508302408318,0.9238275114852554,,0.677346459075422,0.7449299416219389,0.7939099641467653,0.9929524222073789,0.9915875732857374,0.978627823890863
ImblName:noImbl,0.838189241016391,0.8612034200165374,0.791427070546559,0.677346459075422,,,0.9746309889621998,0.7505714528902256,0.7426361411312866,0.7979064551903896
ImblName:TomekLinks,0.8857539902050455,0.923592777764093,0.8666766597427712,0.7449299416219389,,,0.9960192015456525,0.8135869572783065,0.8103536090955694,0.8590283955285171
Prob_Threshold:0.5,0.917089350838518,0.9526444791236576,0.9075730152162452,0.7939099641467653,0.9746309889621998,0.9960192015456525,,0.8565557607328265,0.8553372805668852,0.8979154513479484
Scaler:standard,0.9888906577769434,0.912958683172598,0.9534348349394799,0.9929524222073789,0.7505714528902256,0.8135869572783065,0.8565557607328265,,0.9990099672350273,0.995367747940011
FeatureNum:5.0,0.9854401175336436,0.922349294829346,0.9632005394519224,0.9915875732857374,0.7426361411312866,0.8103536090955694,0.8553372805668852,0.9990099672350273,,0.9960286697855992
Norm_Order:first,0.9943674306353083,0.946639574806508,0.9736789864423554,0.978627823890863,0.7979064551903896,0.8590283955285171,0.8979154513479484,0.995367747940011,0.9960286697855992,
