Metric,Mean,Std
Accuracy,0.6466200466200467,0.08813179006164251
Macro_Precision,0.6293760937666187,0.08327360330977376
Macro_Recall,0.6333364197530864,0.08574842994644517
Macro_F1,0.6245560352568841,0.08735867401702938
Weighted_Precision,0.6660555721154175,0.07785848455695105
Weighted_Recall,0.6466200466200467,0.08813179006164251
Weighted_F1,0.64992389313125,0.08609399883412479
Micro_Precision,0.6466200466200467,0.08813179006164251
Micro_Recall,0.6466200466200467,0.08813179006164251
Micro_F1,0.6466200466200467,0.08813179006164251
Integrated_Score,0.6426968164697509,0.08541874430632831
