Metric,Mean,Std
Accuracy,0.6926413863913864,0.09913836057944113
Macro_Precision,0.708411090936385,0.0699161268051956
Macro_Recall,0.704619341563786,0.07629770804445954
Macro_F1,0.6746680005248203,0.10220273660518038
Weighted_Precision,0.7478606728699254,0.06572894327975919
Weighted_Recall,0.6926413863913864,0.09913836057944113
Weighted_F1,0.6878566015579604,0.11506120641336742
Micro_Precision,0.6926413863913864,0.09913836057944113
Micro_Recall,0.6926413863913864,0.09913836057944113
Micro_F1,0.6926413863913864,0.09913836057944113
Integrated_Score,0.6975243554059811,0.08897381745137956
