PipelinePart,PartValue,Metric,Value
FeatureNum,4.0,Accuracy,0.09045371582359367
FeatureNum,5.0,Accuracy,0.09677297193864344
FeatureNum,6.0,Accuracy,0.09369036270845378
FeatureNum,7.0,Accuracy,0.09299280433489847
FeatureNum,8.0,Accuracy,0.09152758244906854
FeatureNum,4.0,Macro_Precision,0.06661467838892243
FeatureNum,5.0,Macro_Precision,0.06971210578260885
FeatureNum,6.0,Macro_Precision,0.06944511154153091
FeatureNum,7.0,Macro_Precision,0.06807443721041678
FeatureNum,8.0,Macro_Precision,0.0675764839163021
FeatureNum,4.0,Macro_Recall,0.07252734262831498
FeatureNum,5.0,Macro_Recall,0.07628841087396697
FeatureNum,6.0,Macro_Recall,0.07309965105881926
FeatureNum,7.0,Macro_Recall,0.07253400789524095
FeatureNum,8.0,Macro_Recall,0.073916274639346
FeatureNum,4.0,Macro_F1,0.09134782616810269
FeatureNum,5.0,Macro_F1,0.09894202564761832
FeatureNum,6.0,Macro_F1,0.0947149158642211
FeatureNum,7.0,Macro_F1,0.09483406249146273
FeatureNum,8.0,Macro_F1,0.09420771025706605
FeatureNum,4.0,Weighted_Precision,0.062323453477271785
FeatureNum,5.0,Weighted_Precision,0.06534207259833522
FeatureNum,6.0,Weighted_Precision,0.0646732546678056
FeatureNum,7.0,Weighted_Precision,0.06581385840767288
FeatureNum,8.0,Weighted_Precision,0.0664215961370581
FeatureNum,4.0,Weighted_Recall,0.09045371582359367
FeatureNum,5.0,Weighted_Recall,0.09677297193864344
FeatureNum,6.0,Weighted_Recall,0.09369036270845378
FeatureNum,7.0,Weighted_Recall,0.09299280433489847
FeatureNum,8.0,Weighted_Recall,0.09152758244906854
FeatureNum,4.0,Weighted_F1,0.10117083650326907
FeatureNum,5.0,Weighted_F1,0.11027536804570279
FeatureNum,6.0,Weighted_F1,0.10581178504683746
FeatureNum,7.0,Weighted_F1,0.10639602244614463
FeatureNum,8.0,Weighted_F1,0.10539171380783718
FeatureNum,4.0,Micro_Precision,0.09045371582359367
FeatureNum,5.0,Micro_Precision,0.09677297193864344
FeatureNum,6.0,Micro_Precision,0.09369036270845378
FeatureNum,7.0,Micro_Precision,0.09299280433489847
FeatureNum,8.0,Micro_Precision,0.09152758244906854
FeatureNum,4.0,Micro_Recall,0.09045371582359367
FeatureNum,5.0,Micro_Recall,0.09677297193864344
FeatureNum,6.0,Micro_Recall,0.09369036270845378
FeatureNum,7.0,Micro_Recall,0.09299280433489847
FeatureNum,8.0,Micro_Recall,0.09152758244906854
FeatureNum,4.0,Micro_F1,0.09045371582359366
FeatureNum,5.0,Micro_F1,0.09677297193864344
FeatureNum,6.0,Micro_F1,0.09369036270845375
FeatureNum,7.0,Micro_F1,0.09299280433489845
FeatureNum,8.0,Micro_F1,0.09152758244906854
FeatureNum,4.0,Integrated_Score,0.08107436262635183
FeatureNum,5.0,Integrated_Score,0.08724411840555489
FeatureNum,6.0,Integrated_Score,0.08439207339932027
FeatureNum,7.0,Integrated_Score,0.08335555754354591
FeatureNum,8.0,Integrated_Score,0.08260450791041225
FS_Method,biMaxInfgain,Accuracy,0.09567433408113739
FS_Method,biMeanInfgain,Accuracy,0.09665254548018658
FS_Method,infgain,Accuracy,0.0881947007226035
FS_Method,noSelect,Accuracy,0.09152758244906854
FS_Method,biMaxInfgain,Macro_Precision,0.0701895600139353
FS_Method,biMeanInfgain,Macro_Precision,0.06880474479884069
FS_Method,infgain,Macro_Precision,0.06663726805088778
FS_Method,noSelect,Macro_Precision,0.0675764839163021
FS_Method,biMaxInfgain,Macro_Recall,0.07419788650175393
FS_Method,biMeanInfgain,Macro_Recall,0.07485820267795608
FS_Method,infgain,Macro_Recall,0.07216211799478975
FS_Method,noSelect,Macro_Recall,0.073916274639346
FS_Method,biMaxInfgain,Macro_F1,0.09753359384996245
FS_Method,biMeanInfgain,Macro_F1,0.09830080947565416
FS_Method,infgain,Macro_F1,0.08920177059445557
FS_Method,noSelect,Macro_F1,0.09420771025706605
FS_Method,biMaxInfgain,Weighted_Precision,0.0663595131570051
FS_Method,biMeanInfgain,Weighted_Precision,0.06412637471020037
FS_Method,infgain,Weighted_Precision,0.06345177007642347
FS_Method,noSelect,Weighted_Precision,0.0664215961370581
FS_Method,biMaxInfgain,Weighted_Recall,0.09567433408113739
FS_Method,biMeanInfgain,Weighted_Recall,0.09665254548018658
FS_Method,infgain,Weighted_Recall,0.0881947007226035
FS_Method,noSelect,Weighted_Recall,0.09152758244906854
FS_Method,biMaxInfgain,Weighted_F1,0.10929346300893207
FS_Method,biMeanInfgain,Weighted_F1,0.1100700721028597
FS_Method,infgain,Weighted_F1,0.0983782689842412
FS_Method,noSelect,Weighted_F1,0.10539171380783718
FS_Method,biMaxInfgain,Micro_Precision,0.09567433408113739
FS_Method,biMeanInfgain,Micro_Precision,0.09665254548018658
FS_Method,infgain,Micro_Precision,0.0881947007226035
FS_Method,noSelect,Micro_Precision,0.09152758244906854
FS_Method,biMaxInfgain,Micro_Recall,0.09567433408113739
FS_Method,biMeanInfgain,Micro_Recall,0.09665254548018658
FS_Method,infgain,Micro_Recall,0.0881947007226035
FS_Method,noSelect,Micro_Recall,0.09152758244906854
FS_Method,biMaxInfgain,Micro_F1,0.09567433408113739
FS_Method,biMeanInfgain,Micro_F1,0.09665254548018658
FS_Method,infgain,Micro_F1,0.08819470072260349
FS_Method,noSelect,Micro_F1,0.09152758244906854
FS_Method,biMaxInfgain,Integrated_Score,0.08634097072129354
FS_Method,biMeanInfgain,Integrated_Score,0.08664839221863273
FS_Method,infgain,Integrated_Score,0.07921678482715423
FS_Method,noSelect,Integrated_Score,0.08260450791041225
Scaler,minmax,Accuracy,0.0868393857918622
Scaler,standard,Accuracy,0.09913836057944134
Scaler,minmax,Macro_Precision,0.06581213498927109
Scaler,standard,Macro_Precision,0.06991612680519553
Scaler,minmax,Macro_Recall,0.07042989673281652
Scaler,standard,Macro_Recall,0.07629770804445948
Scaler,minmax,Macro_F1,0.08687623065771721
Scaler,standard,Macro_F1,0.10220273660518031
Scaler,minmax,Weighted_Precision,0.06276313828891535
Scaler,standard,Weighted_Precision,0.06572894327975934
Scaler,minmax,Weighted_Recall,0.0868393857918622
Scaler,standard,Weighted_Recall,0.09913836057944134
Scaler,minmax,Weighted_F1,0.09581652167912293
Scaler,standard,Weighted_F1,0.11506120641336748
Scaler,minmax,Micro_Precision,0.0868393857918622
Scaler,standard,Micro_Precision,0.09913836057944134
Scaler,minmax,Micro_Recall,0.0868393857918622
Scaler,standard,Micro_Recall,0.09913836057944134
Scaler,minmax,Micro_F1,0.08683938579186219
Scaler,standard,Micro_F1,0.09913836057944131
Scaler,minmax,Integrated_Score,0.07817567157083213
Scaler,standard,Integrated_Score,0.0889738174513794
AugName,gaussian_noise,Accuracy,0.11416260805430561
AugName,mixup,Accuracy,0.04673954381758685
AugName,noAug,Accuracy,0.05201486964759737
AugName,gaussian_noise,Macro_Precision,0.08931907780195326
AugName,mixup,Macro_Precision,0.04015715117506876
AugName,noAug,Macro_Precision,0.040750427079830814
AugName,gaussian_noise,Macro_Recall,0.08107449817252996
AugName,mixup,Macro_Recall,0.04144467544346533
AugName,noAug,Macro_Recall,0.04267921490638603
AugName,gaussian_noise,Macro_F1,0.11328241741767363
AugName,mixup,Macro_F1,0.04436946314192081
AugName,noAug,Macro_F1,0.048937185686630254
AugName,gaussian_noise,Weighted_Precision,0.08540738971324639
AugName,mixup,Weighted_Precision,0.03862171374291955
AugName,noAug,Weighted_Precision,0.038811195693947566
AugName,gaussian_noise,Weighted_Recall,0.1141626080543056
AugName,mixup,Weighted_Recall,0.04673954381758685
AugName,noAug,Weighted_Recall,0.05201486964759737
AugName,gaussian_noise,Weighted_F1,0.13344117292368615
AugName,mixup,Weighted_F1,0.04595742585962315
AugName,noAug,Weighted_F1,0.05197164802308754
AugName,gaussian_noise,Micro_Precision,0.11416260805430561
AugName,mixup,Micro_Precision,0.04673954381758685
AugName,noAug,Micro_Precision,0.05201486964759737
AugName,gaussian_noise,Micro_Recall,0.11416260805430561
AugName,mixup,Micro_Recall,0.04673954381758685
AugName,noAug,Micro_Recall,0.05201486964759737
AugName,gaussian_noise,Micro_F1,0.11416260805430561
AugName,mixup,Micro_F1,0.04673954381758683
AugName,noAug,Micro_F1,0.052014869647597356
AugName,gaussian_noise,Integrated_Score,0.10049983374901582
AugName,mixup,Integrated_Score,0.04192152843936107
AugName,noAug,Integrated_Score,0.04568715721068745
ImblName,ADASYN,Accuracy,0.1045139045393689
ImblName,RandomUnderSampler,Accuracy,0.09505957122407943
ImblName,SMOTE,Accuracy,0.09684776539708326
ImblName,TomekLinks,Accuracy,0.07339974182291441
ImblName,noImbl,Accuracy,0.07101447909333902
ImblName,ADASYN,Macro_Precision,0.06880842363544616
ImblName,RandomUnderSampler,Macro_Precision,0.06157284198482017
ImblName,SMOTE,Macro_Precision,0.06685291366557045
ImblName,TomekLinks,Macro_Precision,0.07077885911456068
ImblName,noImbl,Macro_Precision,0.07094040208447214
ImblName,ADASYN,Macro_Recall,0.07939485916466472
ImblName,RandomUnderSampler,Macro_Recall,0.07448452622430965
ImblName,SMOTE,Macro_Recall,0.0761628244027128
ImblName,TomekLinks,Macro_Recall,0.06967173369122173
ImblName,noImbl,Macro_Recall,0.06744099252514166
ImblName,ADASYN,Macro_F1,0.11037358585929745
ImblName,RandomUnderSampler,Macro_F1,0.09912852986398529
ImblName,SMOTE,Macro_F1,0.10054343532896932
ImblName,TomekLinks,Macro_F1,0.07446310038216185
ImblName,noImbl,Macro_F1,0.0725157701507641
ImblName,ADASYN,Weighted_Precision,0.07079898818306776
ImblName,RandomUnderSampler,Weighted_Precision,0.06162180868244676
ImblName,SMOTE,Weighted_Precision,0.06731742925811614
ImblName,TomekLinks,Weighted_Precision,0.06230738743904343
ImblName,noImbl,Weighted_Precision,0.06116645030544889
ImblName,ADASYN,Weighted_Recall,0.1045139045393689
ImblName,RandomUnderSampler,Weighted_Recall,0.09505957122407943
ImblName,SMOTE,Weighted_Recall,0.09684776539708326
ImblName,TomekLinks,Weighted_Recall,0.07339974182291441
ImblName,noImbl,Weighted_Recall,0.07101447909333902
ImblName,ADASYN,Weighted_F1,0.12657168969284482
ImblName,RandomUnderSampler,Weighted_F1,0.1117699973780901
ImblName,SMOTE,Weighted_F1,0.11346094409280458
ImblName,TomekLinks,Weighted_F1,0.07396448967569509
ImblName,noImbl,Weighted_F1,0.07146396700989979
ImblName,ADASYN,Micro_Precision,0.1045139045393689
ImblName,RandomUnderSampler,Micro_Precision,0.09505957122407943
ImblName,SMOTE,Micro_Precision,0.09684776539708326
ImblName,TomekLinks,Micro_Precision,0.07339974182291441
ImblName,noImbl,Micro_Precision,0.07101447909333902
ImblName,ADASYN,Micro_Recall,0.1045139045393689
ImblName,RandomUnderSampler,Micro_Recall,0.09505957122407943
ImblName,SMOTE,Micro_Recall,0.09684776539708326
ImblName,TomekLinks,Micro_Recall,0.07339974182291441
ImblName,noImbl,Micro_Recall,0.07101447909333902
ImblName,ADASYN,Micro_F1,0.10451390453936889
ImblName,RandomUnderSampler,Micro_F1,0.09505957122407943
ImblName,SMOTE,Micro_F1,0.09684776539708324
ImblName,TomekLinks,Micro_F1,0.0733997418229144
ImblName,noImbl,Micro_F1,0.071014479093339
ImblName,ADASYN,Integrated_Score,0.09402185162195609
ImblName,RandomUnderSampler,Integrated_Score,0.08527197707753927
ImblName,SMOTE,Integrated_Score,0.08765703096472872
ImblName,TomekLinks,Integrated_Score,0.06995871165653733
ImblName,noImbl,Integrated_Score,0.06790714255696216
Model,DTmodel,Accuracy,0.08813179006164253
Model,GradientBoosting,Accuracy,0.09577234490550174
Model,LogisticRegression,Accuracy,0.07853391107290447
Model,XGBmodel,Accuracy,0.09711057614477928
Model,random_forest,Accuracy,0.10759422905414118
Model,sklearn_SVM,Accuracy,0.06698960611543767
Model,DTmodel,Macro_Precision,0.08327360330977385
Model,GradientBoosting,Macro_Precision,0.05651629358491567
Model,LogisticRegression,Macro_Precision,0.032826077423089135
Model,XGBmodel,Macro_Precision,0.062051932528292296
Model,random_forest,Macro_Precision,0.06594433742886713
Model,sklearn_SVM,Macro_Precision,0.03709272600889231
Model,DTmodel,Macro_Recall,0.08574842994644523
Model,GradientBoosting,Macro_Recall,0.06690883450981912
Model,LogisticRegression,Macro_Recall,0.041233630763053794
Model,XGBmodel,Macro_Recall,0.06920424094949275
Model,random_forest,Macro_Recall,0.07867740601138892
Model,sklearn_SVM,Macro_Recall,0.047670115494943974
Model,DTmodel,Macro_F1,0.0873586740170293
Model,GradientBoosting,Macro_F1,0.09818958315221388
Model,LogisticRegression,Macro_F1,0.07704228277411908
Model,XGBmodel,Macro_F1,0.09969815938668652
Model,random_forest,Macro_F1,0.11167241495451374
Model,sklearn_SVM,Macro_F1,0.06773999347449973
Model,DTmodel,Weighted_Precision,0.07785848455695106
Model,GradientBoosting,Weighted_Precision,0.052389762048351246
Model,LogisticRegression,Weighted_Precision,0.02442274981360666
Model,XGBmodel,Weighted_Precision,0.05934123798204696
Model,random_forest,Weighted_Precision,0.06137242682522909
Model,sklearn_SVM,Weighted_Precision,0.02941926352707905
Model,DTmodel,Weighted_Recall,0.08813179006164253
Model,GradientBoosting,Weighted_Recall,0.09577234490550174
Model,LogisticRegression,Weighted_Recall,0.07853391107290447
Model,XGBmodel,Weighted_Recall,0.09711057614477928
Model,random_forest,Weighted_Recall,0.10759422905414118
Model,sklearn_SVM,Weighted_Recall,0.06698960611543767
Model,DTmodel,Weighted_F1,0.0860939988341247
Model,GradientBoosting,Weighted_F1,0.1135307441340979
Model,LogisticRegression,Weighted_F1,0.0926125588479785
Model,XGBmodel,Weighted_F1,0.11431334584758364
Model,random_forest,Weighted_F1,0.12728613803392558
Model,sklearn_SVM,Weighted_F1,0.07683628685159713
Model,DTmodel,Micro_Precision,0.08813179006164253
Model,GradientBoosting,Micro_Precision,0.09577234490550174
Model,LogisticRegression,Micro_Precision,0.07853391107290447
Model,XGBmodel,Micro_Precision,0.09711057614477928
Model,random_forest,Micro_Precision,0.10759422905414118
Model,sklearn_SVM,Micro_Precision,0.06698960611543767
Model,DTmodel,Micro_Recall,0.08813179006164253
Model,GradientBoosting,Micro_Recall,0.09577234490550174
Model,LogisticRegression,Micro_Recall,0.07853391107290447
Model,XGBmodel,Micro_Recall,0.09711057614477928
Model,random_forest,Micro_Recall,0.10759422905414118
Model,sklearn_SVM,Micro_Recall,0.06698960611543767
Model,DTmodel,Micro_F1,0.08813179006164251
Model,GradientBoosting,Micro_F1,0.09577234490550174
Model,LogisticRegression,Micro_F1,0.07853391107290446
Model,XGBmodel,Micro_F1,0.09711057614477926
Model,random_forest,Micro_F1,0.10759422905414116
Model,sklearn_SVM,Micro_F1,0.06698960611543767
Model,DTmodel,Integrated_Score,0.08541874430632834
Model,GradientBoosting,Integrated_Score,0.08393685425186276
Model,LogisticRegression,Integrated_Score,0.06179169452148037
Model,XGBmodel,Integrated_Score,0.08660399864605176
Model,random_forest,Integrated_Score,0.09618047280913664
Model,sklearn_SVM,Integrated_Score,0.055348397557830165
Norm_Order,first,Accuracy,0.08773515951303858
Norm_Order,last,Accuracy,0.09835827853819487
Norm_Order,first,Macro_Precision,0.06503848716689305
Norm_Order,last,Macro_Precision,0.07168832444854822
Norm_Order,first,Macro_Recall,0.0705783420446628
Norm_Order,last,Macro_Recall,0.07671817499670834
Norm_Order,first,Macro_F1,0.0884188587522447
Norm_Order,last,Macro_F1,0.100834002098917
Norm_Order,first,Weighted_Precision,0.06048419383734294
Norm_Order,last,Weighted_Precision,0.06882595325108336
Norm_Order,first,Weighted_Recall,0.08773515951303858
Norm_Order,last,Weighted_Recall,0.09835827853819487
Norm_Order,first,Weighted_F1,0.09741100474838581
Norm_Order,last,Weighted_F1,0.11343362054150227
Norm_Order,first,Micro_Precision,0.08773515951303858
Norm_Order,last,Micro_Precision,0.09835827853819487
Norm_Order,first,Micro_Recall,0.08773515951303858
Norm_Order,last,Micro_Recall,0.09835827853819487
Norm_Order,first,Micro_F1,0.08773515951303858
Norm_Order,last,Micro_F1,0.09835827853819486
Norm_Order,first,Integrated_Score,0.07854351348496305
Norm_Order,last,Integrated_Score,0.08883071597418138
Prob_Threshold,0.35,Accuracy,0.10017008473840056
Prob_Threshold,0.5,Accuracy,0.07626505933900747
Prob_Threshold,0.35,Macro_Precision,0.06503648581660045
Prob_Threshold,0.5,Macro_Precision,0.07094176703472754
Prob_Threshold,0.35,Macro_Recall,0.07623031438875029
Prob_Threshold,0.5,Macro_Recall,0.07061449161820543
Prob_Threshold,0.35,Macro_F1,0.10546996925963266
Prob_Threshold,0.5,Macro_F1,0.07656360426842901
Prob_Threshold,0.35,Weighted_Precision,0.06657703794503508
Prob_Threshold,0.5,Weighted_Precision,0.06299023919302042
Prob_Threshold,0.35,Weighted_Recall,0.10017008473840056
Prob_Threshold,0.5,Weighted_Recall,0.07626505933900747
Prob_Threshold,0.35,Weighted_F1,0.12060997435521909
Prob_Threshold,0.5,Weighted_F1,0.0776391783181285
Prob_Threshold,0.35,Micro_Precision,0.10017008473840056
Prob_Threshold,0.5,Micro_Precision,0.07626505933900747
Prob_Threshold,0.35,Micro_Recall,0.10017008473840056
Prob_Threshold,0.5,Micro_Recall,0.07626505933900747
Prob_Threshold,0.35,Micro_F1,0.10017008473840054
Prob_Threshold,0.5,Micro_F1,0.07626505933900746
Prob_Threshold,0.35,Integrated_Score,0.08972196255245367
Prob_Threshold,0.5,Integrated_Score,0.07216371573174482
Split_Ratio,0.1,Accuracy,0.09690142683970819
Split_Ratio,0.2,Accuracy,0.08985614344156233
Split_Ratio,0.1,Macro_Precision,0.07264627812268695
Split_Ratio,0.2,Macro_Precision,0.06408298875782983
Split_Ratio,0.1,Macro_Recall,0.07633469809515402
Split_Ratio,0.2,Macro_Recall,0.07116732142004259
Split_Ratio,0.1,Macro_F1,0.09848613373526487
Split_Ratio,0.2,Macro_F1,0.09148101902100665
Split_Ratio,0.1,Weighted_Precision,0.06891547241674578
Split_Ratio,0.2,Weighted_Precision,0.060415201984054964
Split_Ratio,0.1,Weighted_Recall,0.09690142683970819
Split_Ratio,0.2,Weighted_Recall,0.08985614344156231
Split_Ratio,0.1,Weighted_F1,0.10977698177493575
Split_Ratio,0.2,Weighted_F1,0.1020989885947179
Split_Ratio,0.1,Micro_Precision,0.09690142683970819
Split_Ratio,0.2,Micro_Precision,0.08985614344156233
Split_Ratio,0.1,Micro_Recall,0.09690142683970819
Split_Ratio,0.2,Micro_Recall,0.08985614344156233
Split_Ratio,0.1,Micro_F1,0.09690142683970818
Split_Ratio,0.2,Micro_F1,0.08985614344156231
Split_Ratio,0.1,Integrated_Score,0.08729658502697674
