Metric,Mean,Std
Accuracy,0.6840957653457653,0.09272210264478777
Macro_Precision,0.6958725357938436,0.07123598006873987
Macro_Recall,0.6943906299461855,0.08300657867934427
Macro_F1,0.6634746078527279,0.09994590630885367
Weighted_Precision,0.7372409459749967,0.07339845026180765
Weighted_Recall,0.6840957653457653,0.09272210264478777
Weighted_F1,0.6788511233896726,0.10906393038314771
Micro_Precision,0.6840957653457653,0.09272210264478777
Micro_Recall,0.6840957653457653,0.09272210264478777
Micro_F1,0.6840957653457653,0.09272210264478777
Integrated_Score,0.6877375769961687,0.08637405118388918
