Cluster,Part
1,AugMethod:gaussian_noise
3,AugMethod:mixup
3,AugMethod:noAUG
3,Model:sklearn_SVM
8,FeatureNum:4.0
8,FeatureNum:5.0
8,FeatureNum:6.0
8,FeatureNum:7.0
8,FeatureNum:8.0
8,InfoGain:biMaxInfgain
8,InfoGain:biMeanInfgain
8,InfoGain:infgain
8,InfoGain:noSelect
8,Model:random_forest
8,NormOrder:First
8,NormOrder:Last
8,Scaler:MinMax
8,Scaler:Standard
6,ImblMethod:ADASYN
9,ImblMethod:RandomUnderSampler
9,Model:XGBmodel
4,ImblMethod:SMOTE
4,Prob_Threshold:0.35
7,ImblMethod:TomekLinks
7,ImblMethod:noIMB
7,Prob_Threshold:0.5
2,Model:DTmodel
10,Model:GradientBoosting
10,Model:LogisticRegression
10,Split_Ratio:0.1
5,Split_Ratio:0.2
