Metric,Mean,Std
Accuracy,0.6858195045695046,0.08478893116215581
Macro_Precision,0.6904196111561366,0.06689727193071572
Macro_Recall,0.6898254029492455,0.0785798992997499
Macro_F1,0.6644547951124115,0.09036365077993341
Weighted_Precision,0.730051395223856,0.06732189176388251
Weighted_Recall,0.6858195045695046,0.08478893116215581
Weighted_F1,0.6823734052695404,0.09614159169976869
Micro_Precision,0.6858195045695046,0.08478893116215581
Micro_Recall,0.6858195045695046,0.08478893116215581
Micro_F1,0.6858195045695046,0.0847889311621558
Integrated_Score,0.6873816728180183,0.07889255349017517
