Metric,Mean,Std
Accuracy,0.6710112803862804,0.10531457261411964
Macro_Precision,0.6960509938186455,0.07443589396595407
Macro_Recall,0.701170366413422,0.08820916100980039
Macro_F1,0.6594603186768462,0.11195468882633063
Weighted_Precision,0.7441318775244252,0.07559460902048293
Weighted_Recall,0.6710112803862804,0.10531457261411964
Weighted_F1,0.6671839173177092,0.12500799456144754
Micro_Precision,0.6710112803862804,0.10531457261411964
Micro_Recall,0.6710112803862804,0.10531457261411964
Micro_F1,0.6710112803862804,0.10531457261411961
Integrated_Score,0.6815364713293445,0.09749819801725719
