LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.35,2026-02-03 06:46:19,1770071966168_8d52732c,1770071966168_8d52732c17700723795683502,0.4805194805194805,0.4746621621621621,0.4722222222222222,0.4652777777777778,0.5195682695682696,0.4805194805194805,0.4922438672438672,0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4824813043563042,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.1,0.5,2026-02-03 06:46:28,1770071966168_8d52732c,1770071966168_8d52732c17700723884495888,0.5454545454545454,0.5681818181818182,0.5733333333333333,0.5426777532665874,0.615702479338843,0.5454545454545454,0.5533221233204264,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5583035627552696,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.35,2026-02-03 06:46:36,1770071966168_8d52732c,1770071966168_8d52732c17700723968044853,0.435064935064935,0.4463770575258781,0.4414814814814815,0.4280957869125367,0.4897401936261599,0.435064935064935,0.4469534819131437,0.435064935064935,0.435064935064935,0.435064935064935,0.4430432376131779,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/DTmodel,True,0.2,0.5,2026-02-03 06:46:45,1770071966168_8d52732c,1770071966168_8d52732c17700724052279479,0.5324675324675324,0.5266891891891892,0.5292592592592593,0.51875,0.570989820989821,0.5324675324675324,0.5430194805194806,0.5324675324675324,0.5324675324675324,0.5324675324675324,0.5349462620087618,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,DTmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/DTmodel,True,0.1,0.35,2026-02-03 06:47:21,1770071966168_8d52732c,1770071966168_8d52732c17700724413734298,0.4805194805194805,0.4495091164095371,0.4466666666666666,0.4468390804597701,0.497058341378117,0.4805194805194805,0.487610091058367,0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4716985803809448,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,DTmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/DTmodel,True,0.1,0.5,2026-02-03 06:47:28,1770071966168_8d52732c,1770071966168_8d52732c17700724486067052,0.5194805194805194,0.5333333333333333,0.5362962962962963,0.5142369991474851,0.5788497217068646,0.5194805194805194,0.529312120104959,0.5194805194805194,0.5194805194805194,0.5194805194805194,0.5291725108137237,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,DTmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/DTmodel,True,0.2,0.35,2026-02-03 06:47:35,1770071966168_8d52732c,1770071966168_8d52732c17700724556967858,0.4935064935064935,0.4993243243243243,0.4992592592592592,0.4848172928461142,0.543927693927694,0.4935064935064935,0.5048024543649865,0.4935064935064935,0.4935064935064935,0.4935064935064935,0.5000966872353901,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,DTmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/DTmodel,True,0.2,0.5,2026-02-03 06:47:42,1770071966168_8d52732c,1770071966168_8d52732c17700724627132888,0.5909090909090909,0.5909090909090908,0.5998148148148148,0.5815758830379092,0.6355203238320121,0.5909090909090909,0.6002422987802726,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5962607865919554,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,DTmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.1,0.35,2026-02-03 06:48:25,1770071966168_8d52732c,1770071966168_8d52732c17700725050646222,0.4805194805194805,0.4746621621621621,0.4722222222222222,0.4652777777777778,0.5195682695682696,0.4805194805194805,0.4922438672438672,0.4805194805194805,0.4805194805194805,0.4805194805194805,0.4824813043563042,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.1,0.5,2026-02-03 06:48:33,1770071966168_8d52732c,1770071966168_8d52732c17700725137306855,0.3896103896103896,0.3876518218623481,0.3766666666666666,0.3744165946413137,0.432698880067301,0.3896103896103896,0.4035380349987091,0.3896103896103896,0.3896103896103896,0.3896103896103896,0.3922390871497908,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.2,0.35,2026-02-03 06:48:42,1770071966168_8d52732c,1770071966168_8d52732c17700725220477378,0.538961038961039,0.5509078567792296,0.5555555555555556,0.5332735732274725,0.5967039917489603,0.538961038961039,0.5486631863888874,0.538961038961039,0.538961038961039,0.538961038961039,0.548191669935244,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/DTmodel,True,0.2,0.5,2026-02-03 06:48:50,1770071966168_8d52732c,1770071966168_8d52732c17700725303043979,0.512987012987013,0.5371650821089022,0.5398148148148149,0.5104895104895104,0.5835063812591902,0.512987012987013,0.5209336118427027,0.512987012987013,0.512987012987013,0.512987012987013,0.5259569013629277,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,DTmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/DTmodel,True,0.1,0.35,2026-02-03 06:49:29,1770071966168_8d52732c,1770071966168_8d52732c17700725694181585,0.6233766233766234,0.583710407239819,0.5822222222222222,0.5828507379039791,0.6202033260856791,0.6233766233766234,0.6216880448152632,0.6233766233766234,0.6233766233766234,0.6233766233766234,0.6086450623133076,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,DTmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/DTmodel,True,0.1,0.5,2026-02-03 06:49:37,1770071966168_8d52732c,1770071966168_8d52732c17700725772018151,0.5064935064935064,0.4928571428571429,0.4922222222222222,0.4870266479663394,0.5376623376623377,0.5064935064935064,0.516875831041329,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.505456944722723,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,DTmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/DTmodel,True,0.2,0.35,2026-02-03 06:49:44,1770071966168_8d52732c,1770071966168_8d52732c17700725848287605,0.564935064935065,0.5280340025321034,0.5287037037037037,0.5281474367768784,0.5704702242955091,0.564935064935065,0.5675016436437755,0.564935064935065,0.564935064935065,0.564935064935065,0.5530421810902556,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,DTmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/DTmodel,True,0.2,0.5,2026-02-03 06:49:52,1770071966168_8d52732c,1770071966168_8d52732c17700725925991724,0.5454545454545454,0.4966063348416289,0.4966666666666667,0.4965439940220437,0.5415466886055121,0.5454545454545454,0.5434166058115245,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5276578771682341,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,DTmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/DTmodel,True,0.1,0.35,2026-02-03 06:40:53,1770071966168_8d52732c,1770071966168_8d52732c17700720531790910,0.5584415584415584,0.4979871175523349,0.4981481481481481,0.4965384615384616,0.5428404124056297,0.5584415584415584,0.5492707292707293,0.5584415584415584,0.5584415584415584,0.5584415584415584,0.5341455698086132,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,DTmodel,MinMax,gaussian_noise,noIMB
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/DTmodel,True,0.1,0.5,2026-02-03 06:41:01,1770071966168_8d52732c,1770071966168_8d52732c17700720610259467,0.5974025974025974,0.5479559748427673,0.5451851851851851,0.5455929944793452,0.5871722617005636,0.5974025974025974,0.5914245662960682,0.5974025974025974,0.5974025974025974,0.5974025974025974,0.5775450152502025,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,DTmodel,MinMax,gaussian_noise,noIMB
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/DTmodel,True,0.2,0.35,2026-02-03 06:41:08,1770071966168_8d52732c,1770071966168_8d52732c17700720686114293,0.564935064935065,0.5242424242424242,0.5244444444444445,0.5243188419160021,0.566784730421094,0.564935064935065,0.5658376476688219,0.564935064935065,0.564935064935065,0.564935064935065,0.5510446593225458,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,DTmodel,MinMax,gaussian_noise,noIMB
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/DTmodel,True,0.2,0.5,2026-02-03 06:41:16,1770071966168_8d52732c,1770071966168_8d52732c17700720763642190,0.6558441558441559,0.6170068027210884,0.6114814814814815,0.6134501539190149,0.6489089142150367,0.6558441558441559,0.6516878811456126,0.6558441558441559,0.6558441558441559,0.6558441558441559,0.6398480874391173,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,DTmodel,MinMax,gaussian_noise,noIMB
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.1,0.35,2026-02-03 06:50:27,1770071966168_8d52732c,1770071966168_8d52732c17700726278735149,0.7272727272727273,0.7042553191489361,0.7133333333333334,0.7075420510037982,0.7353965183752418,0.7272727272727273,0.7302323287130666,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7218737649523717,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.1,0.5,2026-02-03 06:50:34,1770071966168_8d52732c,1770071966168_8d52732c17700726349011008,0.7272727272727273,0.7184959349593496,0.7388888888888889,0.717948717948718,0.7588691796008868,0.7272727272727273,0.7332667332667333,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.730216808936321,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.2,0.35,2026-02-03 06:50:42,1770071966168_8d52732c,1770071966168_8d52732c17700726420208889,0.7012987012987013,0.68125,0.6933333333333334,0.6840321141837645,0.7167207792207793,0.7012987012987013,0.7060949754972949,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.6981689552270505,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__ADASYN/DTmodel,True,0.2,0.5,2026-02-03 06:50:49,1770071966168_8d52732c,1770071966168_8d52732c17700726490195384,0.7207792207792207,0.7002442002442002,0.7125925925925927,0.7036738712131383,0.7339803054088768,0.7207792207792207,0.7249399814844841,0.7207792207792207,0.7207792207792207,0.7207792207792207,0.7172854760408984,First,4,biMaxInfgain,MinMax__mixup__ADASYN,DTmodel,MinMax,mixup,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__RandomUnderSampler/DTmodel,True,0.1,0.35,2026-02-03 06:51:22,1770071966168_8d52732c,1770071966168_8d52732c17700726824335590,0.6233766233766234,0.6141598915989159,0.6248148148148148,0.6105006105006106,0.65655685777637,0.6233766233766234,0.6316540602254888,0.6233766233766234,0.6233766233766234,0.6233766233766234,0.6252270063785742,First,4,biMaxInfgain,MinMax__mixup__RandomUnderSampler,DTmodel,MinMax,mixup,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__RandomUnderSampler/DTmodel,True,0.1,0.5,2026-02-03 06:51:29,1770071966168_8d52732c,1770071966168_8d52732c17700726892406948,0.6883116883116883,0.6612787356321839,0.6662962962962963,0.6632653061224489,0.6940028362442155,0.6883116883116883,0.6906970580439968,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.6805768167669116,First,4,biMaxInfgain,MinMax__mixup__RandomUnderSampler,DTmodel,MinMax,mixup,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__RandomUnderSampler/DTmodel,True,0.2,0.35,2026-02-03 06:51:35,1770071966168_8d52732c,1770071966168_8d52732c17700726958454155,0.7142857142857143,0.7023809523809523,0.7203703703703703,0.703015427769986,0.7414965986394558,0.7142857142857143,0.7202965337607694,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7156358720829766,First,4,biMaxInfgain,MinMax__mixup__RandomUnderSampler,DTmodel,MinMax,mixup,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__mixup__RandomUnderSampler/DTmodel,True,0.2,0.5,2026-02-03 06:51:42,1770071966168_8d52732c,1770071966168_8d52732c17700727023987067,0.6818181818181818,0.6599511599511599,0.6698148148148149,0.6623260392893902,0.6958755530184102,0.6818181818181818,0.6865595137846447,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6776242584668163,First,4,biMaxInfgain,MinMax__mixup__RandomUnderSampler,DTmodel,MinMax,mixup,RandomUnderSampler
