Metric,Mean,Std
Accuracy,0.6970425407925407,0.09962689505217949
Macro_Precision,0.7159782685165776,0.058979145936079024
Macro_Recall,0.7131639363722697,0.07801241100879816
Macro_F1,0.676226177768034,0.11037928010969664
Weighted_Precision,0.7574688617830898,0.06147616476524137
Weighted_Recall,0.6970425407925407,0.09962689505217949
Weighted_F1,0.6882925042488587,0.12502616426270183
Micro_Precision,0.6970425407925407,0.09962689505217949
Micro_Recall,0.6970425407925407,0.09962689505217949
Micro_F1,0.6970425407925407,0.09962689505217948
Integrated_Score,0.7021559252867439,0.09020852215243137
