LogDir,Norm_First,Split_Ratio,Prob_Threshold,Timestamp,RunID,Model_RunID,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,NormOrder,FeatureNum,InfoGain,Pipeline,Model,Scaler,AugMethod,ImblMethod
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.1,0.35,2026-02-03 06:46:18,1770071966168_8d52732c,1770071966168_8d52732c17700723785312233,0.4155844155844156,0.6142857142857142,0.5414814814814815,0.3733043950081388,0.6868274582560296,0.4155844155844155,0.3246823713454206,0.4155844155844156,0.4155844155844156,0.4155844155844156,0.4551912465891226,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.1,0.5,2026-02-03 06:46:27,1770071966168_8d52732c,1770071966168_8d52732c17700723872512454,0.5584415584415584,0.6336477987421384,0.625925925925926,0.5577702702702703,0.6932941272563915,0.5584415584415584,0.5526237276237276,0.5584415584415584,0.5584415584415584,0.5584415584415584,0.5852225082531685,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.2,0.35,2026-02-03 06:46:35,1770071966168_8d52732c,1770071966168_8d52732c17700723957623323,0.461038961038961,0.6294390972452705,0.5722222222222222,0.4382773016919358,0.7011650811849949,0.461038961038961,0.4045019362092533,0.461038961038961,0.461038961038961,0.461038961038961,0.5011151101660114,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__ADASYN/XGBmodel,True,0.2,0.5,2026-02-03 06:46:44,1770071966168_8d52732c,1770071966168_8d52732c17700724041871725,0.5194805194805194,0.5504908835904628,0.5533333333333333,0.5181802807373583,0.5980401085590425,0.5194805194805194,0.5256566535105348,0.5194805194805194,0.5194805194805194,0.5194805194805194,0.5345541804776756,First,4,biMaxInfgain,MinMax__gaussian_noise__ADASYN,XGBmodel,MinMax,gaussian_noise,ADASYN
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.1,0.35,2026-02-03 06:47:20,1770071966168_8d52732c,1770071966168_8d52732c17700724403467727,0.5974025974025974,0.7327586206896551,0.69,0.5930093776641091,0.8125839677563815,0.5974025974025974,0.5803788709159553,0.5974025974025974,0.5974025974025974,0.5974025974025974,0.6385035350926521,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.1,0.5,2026-02-03 06:47:27,1770071966168_8d52732c,1770071966168_8d52732c17700724475856312,0.6753246753246753,0.6600547195622435,0.6733333333333333,0.6606733650625771,0.6990779398440138,0.6753246753246753,0.6817346235643433,0.6753246753246753,0.6753246753246753,0.6753246753246753,0.6747376676978671,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.2,0.35,2026-02-03 06:47:34,1770071966168_8d52732c,1770071966168_8d52732c17700724546777271,0.461038961038961,0.6137984496124032,0.567962962962963,0.441224043715847,0.6813651464814255,0.461038961038961,0.4097934852033213,0.461038961038961,0.461038961038961,0.461038961038961,0.4983808696591387,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__RandomUnderSampler/XGBmodel,True,0.2,0.5,2026-02-03 06:47:41,1770071966168_8d52732c,1770071966168_8d52732c17700724616913300,0.7337662337662337,0.7206308610400682,0.7396296296296296,0.7225225225225225,0.7583950576277941,0.7337662337662337,0.7392067392067392,0.7337662337662337,0.7337662337662337,0.7337662337662337,0.7346314375956317,First,4,biMaxInfgain,MinMax__gaussian_noise__RandomUnderSampler,XGBmodel,MinMax,gaussian_noise,RandomUnderSampler
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.1,0.35,2026-02-03 06:48:24,1770071966168_8d52732c,1770071966168_8d52732c17700725040248393,0.4285714285714285,0.6901408450704225,0.56,0.3826530612244897,0.7826961770623743,0.4285714285714285,0.3323615160349853,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4819644602307722,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.1,0.5,2026-02-03 06:48:32,1770071966168_8d52732c,1770071966168_8d52732c17700725126933032,0.5974025974025974,0.6429597701149425,0.6474074074074074,0.5971308016877637,0.6981079265562025,0.5974025974025974,0.6002564524083511,0.5974025974025974,0.5974025974025974,0.5974025974025974,0.6174166374833112,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.2,0.35,2026-02-03 06:48:41,1770071966168_8d52732c,1770071966168_8d52732c17700725210152470,0.4545454545454545,0.625,0.5672222222222222,0.4299312533051295,0.6962809917355371,0.4545454545454545,0.3945483390221624,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.4943404420630514,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__SMOTE/XGBmodel,True,0.2,0.5,2026-02-03 06:48:49,1770071966168_8d52732c,1770071966168_8d52732c17700725292644517,0.564935064935065,0.6302113078241005,0.6266666666666667,0.5647698991858945,0.6879556765336319,0.564935064935065,0.5622373576986138,0.564935064935065,0.564935064935065,0.564935064935065,0.589508479609142,First,4,biMaxInfgain,MinMax__gaussian_noise__SMOTE,XGBmodel,MinMax,gaussian_noise,SMOTE
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/XGBmodel,True,0.1,0.35,2026-02-03 06:49:28,1770071966168_8d52732c,1770071966168_8d52732c17700725683940306,0.7272727272727273,0.7042553191489361,0.7133333333333334,0.7075420510037982,0.7353965183752418,0.7272727272727273,0.7302323287130666,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7218737649523717,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,XGBmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/XGBmodel,True,0.1,0.5,2026-02-03 06:49:36,1770071966168_8d52732c,1770071966168_8d52732c17700725761722375,0.6623376623376623,0.6129807692307692,0.5696296296296296,0.5609649122807017,0.6352397602397603,0.6623376623376623,0.6239804055593529,0.6623376623376623,0.6623376623376623,0.6623376623376623,0.6244618785210888,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,XGBmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/XGBmodel,True,0.2,0.35,2026-02-03 06:49:43,1770071966168_8d52732c,1770071966168_8d52732c17700725837647342,0.6753246753246753,0.6545138888888888,0.6648148148148147,0.6565566458519179,0.6913329725829727,0.6753246753246753,0.6805380168448857,0.6753246753246753,0.6753246753246753,0.6753246753246753,0.6717602371630582,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,XGBmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__TomekLinks/XGBmodel,True,0.2,0.5,2026-02-03 06:49:51,1770071966168_8d52732c,1770071966168_8d52732c17700725915699236,0.6688311688311688,0.6381294964028776,0.5533333333333332,0.5237402219392396,0.6495188264972438,0.6688311688311688,0.6022600284925189,0.6688311688311688,0.6688311688311688,0.6688311688311688,0.6205306707205765,First,4,biMaxInfgain,MinMax__gaussian_noise__TomekLinks,XGBmodel,MinMax,gaussian_noise,TomekLinks
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/XGBmodel,True,0.1,0.35,2026-02-03 06:40:52,1770071966168_8d52732c,1770071966168_8d52732c17700720521631117,0.7272727272727273,0.6992924528301887,0.6877777777777778,0.692175899486008,0.7214837049742711,0.7272727272727273,0.7232230932973366,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7140743333848163,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,XGBmodel,MinMax,gaussian_noise,noIMB
log/pimaindians_diabetes/4/biMaxInfgain/MinMax__gaussian_noise__noIMB/XGBmodel,True,0.1,0.5,2026-02-03 06:40:59,1770071966168_8d52732c,1770071966168_8d52732c17700720599994518,0.7012987012987013,0.6785714285714286,0.6166666666666667,0.6177422836175264,0.6892393320964749,0.7012987012987013,0.6711255504693882,0.7012987012987013,0.7012987012987013,0.7012987012987013,0.6722973983659745,First,4,biMaxInfgain,MinMax__gaussian_noise__noIMB,XGBmodel,MinMax,gaussian_noise,noIMB
