Metric,Mean,Std
Accuracy,0.6707632645132645,0.10251054075384569
Macro_Precision,0.697989708749555,0.0693515382797023
Macro_Recall,0.6989719452358341,0.08340042881631946
Macro_F1,0.6566192958527791,0.11049977879753994
Weighted_Precision,0.7460507322093254,0.07224139505935571
Weighted_Recall,0.6707632645132645,0.1025105407538457
Weighted_F1,0.6648295796143704,0.12528720475913313
Micro_Precision,0.6707632645132645,0.10251054075384569
Micro_Recall,0.6707632645132645,0.10251054075384569
Micro_F1,0.6707632645132645,0.10251054075384569
Integrated_Score,0.6808238757448495,0.09367461112526812
