Metric,Mean,Std
Accuracy,0.6788352272727274,0.09907324474274676
Macro_Precision,0.698364683193783,0.06791002097947921
Macro_Recall,0.7012060185185186,0.08435146058015562
Macro_F1,0.6627324166150204,0.10649097346240184
Weighted_Precision,0.7438070752135838,0.06894898595325594
Weighted_Recall,0.6788352272727274,0.09907324474274676
Weighted_F1,0.6736823916458313,0.11749114793759408
Micro_Precision,0.6788352272727274,0.09907324474274676
Micro_Recall,0.6788352272727274,0.09907324474274676
Micro_F1,0.6788352272727274,0.09907324474274674
Integrated_Score,0.686334089840807,0.09137685032532648
