Metric,Mean,Std
Accuracy,0.7030365467865468,0.06908244740353317
Macro_Precision,0.6975873073872098,0.06216500149101249
Macro_Recall,0.6967874525166191,0.07561394778279547
Macro_F1,0.6768789762624746,0.079641718005726
Weighted_Precision,0.7336291231181008,0.06297708012345409
Weighted_Recall,0.7030365467865468,0.06908244740353317
Weighted_F1,0.6991665485128424,0.07622388149660413
Micro_Precision,0.7030365467865468,0.06908244740353317
Micro_Recall,0.7030365467865468,0.06908244740353317
Micro_F1,0.7030365467865468,0.06908244740353314
Integrated_Score,0.700421835733109,0.06776200569796491
